id;description;dbo
857346940970397;Und die tat was der  türke gemacht hat mit einem deutschem Komplizen ist grausam!!!!  Er ist kein moslem kein türke kein mensch.er ist ein monster in mein Augen!!genau wie 1993 ein familienhaus in sollingen von rechtsradikalen  in brand gesetzt  wurden ist,wo daa jüngste opfer eone 3jährige war.das waren im mein augen auch Monster!!!;nothing
987829054588851;Ja, wenn man dann selber betroffen ist,dann,,,,,,,,,,,,,,,,,,,,,,,,,;nothing
857928614245563;Mindestens 50 Wohnungseinbrüche  pro Tag in Köln!Tendenz steigend!(Quelle:TV phoenix)Und wer glaubt dass die Täter Deutsche sind,der glaubt auch dass Zitronenfalter Zitronen falten!Oder seid ihr anderer Meinung, liebe kunterbunten Realitätsverdränger ?!;nothing
1011528615552228;Wenn schon die Polizei das Volk belügt....weil die Regierung denen ein Maulkorb verpasst.....Ja....Wir sind am Arsch. Aber wehe man macht Selbstjustiz....;criticism
1108159232555832;Da will man direkt mal einen Tag Polizist sein und sich mal richtig entfalten!;nothing
856824027689355;[@IND].... einfach irgendwas mitquatschen. .. heimlich auf Kay One  stehen . ....zum Glück  ist der durch und durch Deutscher;nothing
951533558218401;"Damit die Bevölkerung nicht durch Flüchtlinge ""gestört"" wird, verlegt Ungarn Flüchtlingsunterkünfte aus Städten in Randgebiete. Die Haltung der Regierung sei klar: Das Kabinett wolle die Unterkünfte aus den bewohnten Gebieten weg haben, erklärte ein Sprecher des Innenministeriums.Übergangsunterkünfte würden als Zeltlager eingerichtet, sagte der Stabschef von Ministerpräsident Viktor Orban, Janos Lazar. Eines davon werde an der Grenze zu Serbien eingerichtet. Dann werde die örtliche Bevölkerung ""nicht gestört"" durch die Massen an Flüchtlingen, sagte Lazar";nothing
882746038430487;"Was soll das ....der Marokkaner wurde nicht umgebracht....sondern er hatte eine Infektion und ist an einer Lungenembolie gestorben
Warum muss wenn hier ein Flüchtling stirbt....erst die Schuldigen gesucht.....oder es wird gleich wieder auf rechtsradikal gewittert.....ist doch bekloppt..so wird noch mehr Hass geschürt
Außerdem seid wann ist ein Marokaner ein Flüchtling.....das ist mir neu.....entweder hat der was ausgefressen in sein Land....oder weis der Geier.....

Zum Anschluss noch....( ist mir auch egal wenn man mich dann als Braun beschimpft....obwohl ich es nicht bin)......ich bin der Meinung das es langsam reicht mit den ganzen Asylers.....unser Land wird hier beschissen müssen immer mehr aufnehmen....sollen immer mehr bezahlen.....Beispiel die anmahnung von den Griechen das die pfänden wollen.....obwohl wir schon längst unsere Schuld bezahlt haben
Aber weh wenn der Deutsche sich mal wehrt dann heißt es ""du böser Deutscher...du Nazi""......
Und unsere Regierung....was machen die.....mich kotzt das hier langsam alles an";criticism
857178660987225;[@IND], falsch, was soll das sterotype Nachgeplapper der von den Medien suggerierten Lügen? Selber neutral informieren hilft.;criticism
857793834259041;"Auch wenn dies sehr böse klingen mag, wenn man die rausschmeisst finden die schon ganz schnell wieder ""nach Hause"" da sie sich dort am besten uaskennen und womöglich sogar noch soziale Netze haben. Daher mag es hart klingen würde aber funktionieren, geht in vielen anderen Staaten ja auch. Man geht ja dann schnell dahin zurück wo man sich zurecht findet weil einfach sicherer als in der Ungewissheit oder in der Gewissheit nicht mehr rein zu dürfen.";nothing
1064983046873451;Ja und die Erde ist eine Scheibe.;nothing
972225499482540;Wassili Grigorjewitsch Saizew was ist dein Problem, bist du hier um eine friedliche Unterhaltung zu stören ? Such dir Arbeit und nerv nicht. Und wenn du so von Deutschland up gefuckt bist , dann geh da hin wo der Pfeffer wächst;nothing
1013011392070617;https://www.youtube.com/watch?v=83SErgYYKFY&feature=youtu.be;nothing
858349060870185;Das ist doch garantiert nur eine Aufwandentschädigung gewesen. Schließlich kostet seine Orgel Strom.;nothing
1010189535686136;"""Auch fordert sie, dass in Moscheen auf deutsch gepredigt werden sollte – damit klar wäre, worüber eigentlich gesprochen werde."" http://www.vhs-hamburg.de/kurse/kurse/sprachen/arabisch-323";nothing
1011132288925194;Wow.... Soviel Hass und Angst. Nicht nur Flüchtlinge, Ausländer sondern auch Homosexuelle bekommen ihr Fett ab.  Wie siehts denn mit Behinderten aus?  Das hatten meine Großeltern schon mal.  Ist es wieder soweit? Und wo bitte findet denn schon dieser Krieg statt??;nothing
857265280978563;"Liebe Pegida ich bitte euch einen Trauermarsch zu organisieren ,wegen dem verbrannten deutschen Mädchen in Berlin.
Für die Türkin Tugce gab es ja auch einen.";nothing
857921514246273;Ist genauso schlimm Martin Schulz, aber darum geht es nicht.;criticism
856749967696761;Sie ist ein Opfer von Multikulti,niemand warnt jungen Frauen sich von Moslems fern zu halten. Es sind genau solche BRD-Weiber:      https://www.youtube.com/watch?x-yt-cl=84503534&v=l0QW6zKkrOU&x-yt-ts=1421914688&feature=player_embedded;nothing
857967800908311;Die meisten pegidas sind eh Nazis;nothing
1065423903496032;Sie glauben ja aber den Scheiß mit der Gitarre, Jan!;nothing
1011490768889346;"Bitte lesen!
https://m.facebook.com/story.php?story_fbid=814819021997509&id=100004082558415";nothing
856808107690947;https://www.facebook.com/pages/Dresden-gegen-die-Islamisierung-des-Abendlandes/574245886042638?ref=hl;nothing
856798311025260;Wir wissen wieviele wir waren und die Zahlen IMMER runtergespielt wurden/werden!;nothing
882216881816736;respekt,,der mann hat die richtige gesinnung;nothing
1064991653539257;Ja, wie das so manchmal ist, die Flüchtlinge finden alles, nur nicht den Weg nach Hause.;nothing
856800987691659;Wegen so Menschen wie wir, ist deutschland nunmal deutschland. ihr seid volltrottel, wenn wir alle gehen, wird deutschland zusammebrechen. dann könnt ihr gleich den adolf wiedererwecken ihr hirnlosen hartz4 empfänger;agitation
1057932087578547;Finde ich super, da stellen sich 4 Staaten sozusagen gegen die Politik der Frau Merkel, da diese Länder ihr eigenes Volk vor islamisierung und den anderen Straftaten schützen wollen;criticism
1012241058814317;"Hmmm Negerküsse ; lecker ! Wir hatten heut Zigeunerschnitzel  ??";nothing
1111630728875349;Wo ist Tatjana? ????;nothing
1134208746617547;Man liest genug über Flüchtlinge,Gewalt Totschlag, Reicht;nothing
1111818345523254;Was regen die Gutmenschen sich auf, der Plan der Weltregierung lautet doch sowieso Abschaffung des Bargeldes, dann sin die Fachkräfte und Bereicherer doch sehr fortschrittlich. ????????;nothing
856771034361321;"Wir sind das Volk 
Und jeder der sich dazu bekennt und unsere Grundrechte befolgt .
Unsere Traditionen (ja Sie gibt es ) 
Unsere Kultur ( sie gibt es auch xd)

Hängt  Unsere Farben raus nicht nur zur Wm";nothing
988359954535761;Das wird noch prekärer.... weil... noch mehr Flüchtlinge .... noch mehr Winter... aber da gibt es noch eine Möglichkeit der Beherbergung:  .... alle Parteibüros  und Gebäude von SPD, CDU und Grünen.... bis hin zu Landtagen, Kreistagen und Bundestag und Landesregierungsliegenschaften, Liegenschaften der Bundesregierung und des Bundes und der Länder... das schafft Solidarität und Abhilfe!;criticism
945847725453651;ich weiss,sonst wärst ja nicht mein Freund :-);nothing
1010773955627694;Meine Frau und Ich erwarten Zwillinge. Sollte doch schön sein. Aber nun muss ich Tag für Tag Angst um meine eigene entstehende Familie haben!! Kann mir keiner erzählen das unter zich-Tausenden Einwanderer (viele mit gefälschten Syrischen Pass) keiner davon in IS Kämpfer ist. Diejenigen die GEGEN Pegida auf der Strasse stehen werden Zeugen und mit verantwortlich sein wie sich Deutschland zugrunde richtet!!;nothing
857531157618642;eugelinchen;nothing
969016623136761;"Islam ist eine friedliche Religion. 

Und Wer Krieg sät, erntet Flüchtlinge.#Deutschland ist durch den Waffenexport mitverantwortlich für die Kriege, nun müssen wir auch die Verantwortung für die Flüchtlinge tragen. 

http://m.wienerin.at/archiv/wienerin/aktuelles/4714417/index.do";criticism
856742544364170;die machen alles richtig;nothing
1011230645582025;Xetrov Rotareneg Deine weiße Jacke sollte vielleicht mal wieder nachgeschnürt werden. Kommt zu viel Grütze aus allen Seiten raus.;nothing
885344031504021;montag ist Peggy da.....;nothing
856845381020553;hallo freunde wir müssen endlich wieder den mut haben zu sagen ich bin stolz ein deutscher zu sein ohne gleich in ein rechtes spektrum gedrängt zu werden;nothing
1111328472238908;Der richtige Schritt überall einführen;nothing
1395361313744953344;@Ichbins2009 @DrStrompen @ZentralratJuden Was für ein unsinnige Kommentar. Es geht nicht darum, dass diese Leute deutschen Pass haben sondern Deutsche mit Migrationshintergrund sind und Anhänger einer bestimmten Religion. Das sie den deutschen Pass haben macht es höchstens schlimmer.;nothing
857820617589696;Hier sieht man mal wieder wer die wahren Staatsfeinde sind, unsere Freiheit abschaffen wollen und eine bunte Anarchiediktatur schaffen wollen.    http://www.welt.de/politik/deutschland/article136820113/Anti-Pegida-Demonstranten-greifen-Polizei-an.html;nothing
987824024589354;Dann können die Gutmenschen jeden Tag Partys feiern und Nachts grölend durch die Strassen ziehen !Was für Kulturverweigerer aber auch;nothing
856888224349602;Was kann Pegida dafür, dass sich diese Gruppierung dazu gesellt?;nothing
857518340953257;Du beschimpft mich aufs übelste, ich habe früher nix mit Juden gemacht. Sicher war das schlimm...aber das für was heute demonstriert wird ist damit nicht zu vergleichen.;nothing
1112601472111608;http://youtu.be/lyNOOH8Yg2E;nothing
1011673205537769;Dominik Kroy;nothing
972235259481564;"Den Aufstand der Anständigen gibt es bereits. Deutschlandweit kann ich meine Hand nicht dafür ins Feuer legen - aber für Pegida in Sachsen auf jeden Fall!
Bitte schaut selbst vorbei - und verfallt nicht der Version ""BILD dir deine Meinung""!";nothing
995821430456280;Die ist so hartnäckig wie Ihr Vorgänger der liebe Herr Honecker aber ging trotzdem;criticism
1057767640928325;Und da geht die zum Arschkriechen hin...;nothing
883394121699012;Sollen sich doch gegenseitig umbringen,eine Sorge weniger.;nothing
858391504199274;Mir macht ihr Angst...;nothing
855061824532242;das Video hat Facebook gekillt !;nothing
1066206160084473;You made my day! ROFL;nothing
1108039565901132;scheiß pack;nothing
856912151013876;Hu Bi, spätestens,  wenn Dich jemand Idiot nennt,  würdest Du nicht mehr von Meinungsfreiheit reden. Sei froh, dass man so tolerant ist, eine No Pegida Gruppe hätte Dich schon längst rausgeworfen;nothing
857192874319137;Okay, danke auf jeden Fall für deine konstruktiven Antworten... Ich schau mir das einfach nächsten Montag mal selbst an =);nothing
882013901837034;Respekt, solche Menschen wie sie braucht unser Land und davon sehr, sehr viele, sonst ist es bald vorbei mit Deutschland;nothing
982750708430019;Bald müssen unsere Frauen Kopftücher tragen, und allen Katholiken  und Evangelischen werden die Gurgel durchgeschnitten.!!!  Lobby Merkel muss Weck!!!;subversive
1007145295990560;sperrt dieses pack endlich hinter schloss und riegel;nothing
858477367524021;https://www.youtube.com/watch?v=gGyM8JJocq8;nothing
1385113790463762432;Will auch @jensspahn @DaniLudwigMdB   #weed #cannabis #legalizeit   Kostenlose Joints für Corona-Geimpfte https://t.co/x7qPpae5Dn;nothing
1011477462224010;Ich bin stelle mir vor: wäre das Attentat in Deutschland passiert wäre so ein harter Großeinsatz von Polizei und Militär wie in Paris Saint Denis mit 5000 Schuss verschossen nie möglich, dazu wären unsere Behörden überhaupt nicht fähig und entschlossen genug!;criticism
1057107640994325;Edathy fehlt auf den Foto!;nothing
1010747035630386;"Dumm nur das ihr die Barbaren seit und somit Joko und Klaas gegen euch aufmerksam machen. 
Ihr könnt nicht jeden Moslem über einen Kamm scheren, dann dann müsste man sagen das jeder Christ im KuKluxklan ist!";nothing
858385484199876;Ich empfehle ausländischen Gästen schon lange, nicht nach Sachsen zu reisen.;nothing
855111904527234;Bennochen, warst du auch mit den Mördern demonstrieren und weinst du jetzt alleine in deinem Zimmer bei deiner Mutti? https://mopo24.de/nachrichten/khaled-idris-mord-taeter-drogen-4023?isAjax=1;nothing
876458075725950;"Also, unter den Asylanten, sind fast nur ungebildete. Die wenigen Ärzte würden nichtmal reichen um die Asylanten zu behandeln. Wie soll das ein Gewinn sein. Und warum zum geier kommen die ALLE nach Deutschland? 
Warum nimmt Polen bspw. überhaupt keine Flüchtlinge auf?";nothing
982681188436971;Da sieht man was passiert wenn die nicht bekommen was sie wollen! Seit gewarnt wenn die erst mal hier anfangen!;nothing
1063740156997740;Sybille Gerber Danke.;nothing
857907737580984;HAHAHAHAHA  nehmt euch mal ein Beispiel an Ihm, was ihr könnt ist veralgemeinern mehr habt ihr nicht drauf;nothing
1007237742647982;Jaja das lesen ist nicht so einfach, Superhirn;nothing
1012345038803919;der striezelmarkt in dresden ist der älteste in deutschland.;nothing
1056747427697013;Das Bild passt,alles Vollpfosten und wenn ich Warze Fatma roth sehe,dann sehe ich auch roth,alles taugenichts auf dem foto;criticism
1044234402281649;Germany and austria are changing to pakistan. And they were afraid od slovak and Czech workers and closed they job market. Pakis are maybe more reliable than europeans;nothing
857864057585352;Ich zweifle auch nicht daran;nothing
968117816559975;https://www.youtube.com/watch?v=jNAxOZkWZwc;nothing
963642740340816;Irgendwie widersprechen sich ja auch Punkt 1 und 4. Wenn man einen sofortigen Aufnahmestopp von Zuwanderern und Asylbewerbern fordert, braucht man sich um das bewilligte Asyl, dass eh laut Gesetz immer befristet ist, keine Gedanken mehr zu machen.;nothing
1010396512332105;Das klingt nach Wahrheit.;nothing
1395363736391671808;@crushedshots @AnneFabri1 @DrStrompen @ZentralratJuden Warum muss man jetzt ausländische Antisemiten importieren?;nothing
982692971769126;"Die ""armen traumatisierten Flüchtlinge"" machen Rabatz,nicht zu fassen! Gibt immer noch Leute die glauben das sie sich bei uns integrieren und ja sooo gerne arbeiten möchten bei uns????????????????";nothing
856883871016704;Öhhhh falsch 16999 ????;nothing
1123532834351805;Das wusste ich auch vorher schon.;nothing
1134073499964405;Klar bimbo nach dem Wahlsieg trumps;nothing
1010217752349981;"Rudi Krieg, Merkel ist doch erst vorgestern wieder von Herrn Obama zu ihrer vorbildlichen Flüchtlingspolitik gelobt worden. Na bitte... Da kann sie doch wieder einige Monate von zehren, sich beweihräuchern und ""Wir schaffen das"" brüllen.";criticism
1012980712073685;Und das schreibt ein bezahlter Volksverhetzer und STASI Mitarbeiter wie DU einer bist ? ……..  =D =D =D..;nothing
972625459442544;Herr Fifka, habe ich dies hier richtig verstanden ?  https://www.youtube.com/watch?v=dtUCxhiP7-c&feature=youtu.be;nothing
876248552413569;Diese geistigen Tiefflieger begreifen es immer noch nicht bzw. wollen es schlicht nicht. Ein Konstrukt aus Selbstbelügung, Hinterhältigkeit, Medienzensur, Diffamierung und Diktatur was in Deutschland / EU gerade abgeht.;criticism
876357239069367;"Fachkräfte (y) ;)";nothing
882678231770601;Huch!! Der wurde sicher von den einem bösen Nazi ermordet -_- :P;nothing
857836834254741;Amir, werde geistig erst mal Reif, und überlege was du schreibst !!!!;nothing
858558480849243;Lieber Ralf, der Vorsatz ist ja loeblich und ehrt Dich, aber ohne den  BgA wird da wohl nichts draus.;nothing
993433044028452;"Wir haben Euch gestern darauf aufmerksam gemacht, was dies für eine Veranstaltung ist, dass es aber auch richtig und wichtig ist, dorthin zu gehen.

Aus diesem Grund hoffen wir, dass Ihr alles gut überstanden habt und es keine unangenehme Zwischenfälle gab.

http://www.faz.net/aktuell/wirtschaft/ttip-und-freihandel/freihandelsabkommen-zehntausende-demonstrieren-in-berlin-gegen-ttip-13848419.html";nothing
857356974302727;Was ist so falsch dran gegen Terrorismus Radikalismus und Verbrechen auf die Straße zu gehen? Glaubt ihr alle Demonstranten sind rechts? Nein! Ich würde auch auf die strassen gehen wenn es gegen Terrorismus und Gewalt geht. Wacht mal auf!!! Wenn wir das machen sind wir Nazis?nein!!! Es geht um Terrorismus jeglicher Art !!! Mir geht das rechts links gelaber  auf die Eier !;nothing
856781464360278;Irgendwas wahres ist dran was er sagt.;nothing
854999704538454;jetzt erst recht;nothing
1065217376850018;Ich vergesse auch immer mein 10.000 Euro Schlagzeug neben  der  Bahnhofstoilette. Gut, dass es euch gibt. Was würde ich nur ohne euch machen <3;nothing
857867937584964;Nicht pauschal, sondern gezielt. Lies mal was Henryk Brider schrieb.;nothing
856824231022668;Ihr macht einen guten Job , bitte weiter so .;nothing
1055325321172557;"Kennt ihr das Lied "" Deutschland ist "" ????? Das sind wir !!!!";nothing
987835917921498;"Das sind die ""Linken""! Große Klappe - nichts dahinter. Und an keiner Stelle glaubwürdig. Die Genossim Wagenknecht verflucht den Kapitalismus, fordert aber gleichzeitig den größten Dienstwagen, den sie dann natürlich zu Lasten des armen, ausgebeuteten Volkes gern und großzügig nutzt! Und das Gelände der Stadtwerke Potsdam hat ""Freiland"" sicher auch nicht bezahlt.";criticism
858381217533636;Frau Oertel hat sich der AfD angebiedert. Herr Bachmann wird diesen Kurs wieder korrigieren.;nothing
1095898807115208;warum räumt man die nicht weg?;nothing
856754974362927;Ihr könnt kein Mathe und wie es scheint auch keine deutsche Rechtschreibung und Grammatik. Aber rettet ruhig weiter eurer Abendland. (Pssssst. Vorsicht, ihr schreibt arabische Zahlen.);nothing
857194750985616;"Ich hoffe aber nicht, dass du Burkas, Ehrenmorde und Hassprediger zu deiner ""Lebensvielfalt"" dazuzählst.";nothing
883015605070197;http://www.volksstimme.de/nachrichten/magdeburg/1439109_Bis-Ende-des-Jahres-rund-980-Unterkuenfte-noetig.html;nothing
1057704594267963;Und wenn sich hier endlich mal der Wind dreht, ist es an der Zeit sich diesen Ländern erkenntlich zu zeigen.;nothing
993976170640806;Der ist jetzt aber hoffentlich geheilt.Der wird sich bestimmt nicht mehr für Flüchtlinge einsetzen.;nothing
1096020673769688;Wegtragen? Eher nach islamischen Recht auspeitschen;nothing
945459738825783;Blöd oder?;nothing
1013054788732944;auch ein nazi ? LACH;nothing
1134077499964005;Mal an die eigene Nase fasen...;nothing
855033224535102;Daumen hoch !!! Wir lassen uns nicht unterbekommen !!! Pro pegida;nothing
1112414178797004;Das kann man eigentlich nicht falsch verstehen. Oder man sollte den Post ausführlicher gestalten.Dann lesen verstehen und kommentieren;nothing
1561;Hängt das linke Gesindel an den Eiern an den nächsten Laternenpfahl!!!;nothing
991236000914823;Kann leider nicht muss arbeiten. Trotzdem bin ich bei Euch;nothing
855481917823566;Und warum distanziert sich keiner der Moslems öffentlich auf der Straße gegen den radikalen Islamismus?;nothing
857718667599891;Vorurteile? Und das von ihnen? tztztz;nothing
882846705087087;Passiert im krieg ?? als ob die in ihren Land nie sterben....bedauerlich er wollte doch nur Geld, ein auto & eine fette Bude das arme....;nothing
982662171772206;Dafür machen die scheiß Kroaten freie Bahn. Balkan Pack;nothing
1064176563620766;Was ist das für ein roter Punkt in Brandenburg?;nothing
855018004536624;^^ hat er selbst geschrieben....ob er das auch singt ??;nothing
1010745988963824;Nun, zum einen wegen der aktuellen Ereignisse: ich würde gern ohne ungutes Gefühl auf Weihnachtsmärkte, Konzerte, Fussballspiele gehen. Und zum zweiten, was den ungebrochenen Flüchtlingswahnsinn anbelangt: ich möchte nicht, dass deshalb wieder mal Steuern erhöht werden oder neue Steuern/Abgaben erfunden werden, denn es ist ja wohl in der Vergangenheit immer so gewesen, dass das gemeine Volk für so etwas zahlen muss (unfreiwillig) und bestimmt nicht die Politiker und Promis.;criticism
982639338441156;Alles Facharbeiter sie wollen doch alle nur arbeiten;nothing
1012883648750058;Hast du doch gelesen: es ist nicht nur ein religiöse, sondern auch ein ethisches Problem!;nothing
1012238215481268;Haha, da merkt man wieder Hirn vergessen ihr Antifa!!! Ich kenne ihn nur als Striezelmarkt, er hieß noch nie anders.;nothing
982685341769889;PS: Und die Aasgeier.. äähhhm,Journalisten,kreisen gierig um dieses Spektakel,um die Wahrheit umzulügen.;nothing
945984192106671;Wenn ihr dann mal irgendwann rausfindet, dass ich Gott, der Wahrhaftige bin, dann seid ihr alle um ein Vielfaches ruhiger als ihr jetzt seid :D Freu mich aufs jüngste Gericht, Enrico <3 Ein Foto habe ich nicht, da ich eigentlich für gewöhnlich gestaltlos herumwandle.;nothing
1124374410934314;Habe auch eine Mutter abbekommen..Zum Glück nur an die brust.. Stand rechts neben der Bühne.. Ich hasse die Antifa abgrundtief;nothing
857861654252259;Klar, selbstverständlich übertreibt Presse auch oft ! Aber das hat ehr was mit der Quote zu zun !;nothing
985433518161738;If the Dutch weren't spineless cowards, because that is what they are, we would have such demonstrations also! We see demonstrations everywhere across Europe in countries like Slovakia, Hungary and even a country like Malta.;nothing
1044153612289728;Das währe keine Änderung, man will uns doch nur verarschen!;nothing
1064213733617049;Interessante Statistik. Aber wetten, daß Thüringen mit seiner linksversifften Landesregierung schon innerhalb weniger Jahre abfallen wird?;criticism
1063681143670308;Ich muss aber dementieren, denn ich fand die Lehrer in der DDR alles andere als qualifiziert. Das muss nicht stimmen, mein Eindruck war es aber.;nothing
991304087574681;Ich natürlich auch;nothing
1111524698885952;Flachmann nebenbei ??...einfach nur geil;nothing
1011213695583720;Viel Glück euch heute und auch 25000 Leute wie in Dresden! !!!;nothing
945837395454684;10000 weitere Kriminelle, die unsere Staatskassen belasten :-(;nothing
857250754313349;Nur gut das ich mir auf Uschi gar keinen Reim machen kann ... Überhaupt gar keinen ??;nothing
1108048129233609;Schießt endlich dass sind keine Flüchtlinge.Sie Gefährten unsere demokratische Ordnung.;nothing
856825564355868;Gina schau sie dir an , sowas will kein deutscher !!!;nothing
1035161076522315;Uwe Heidenreich, das mit der Couch muss ich ?? zustimmen. Gibt immer noch genügend, die sich zwar aufregen, aber ihren Allerwertesten nicht hoch kriegen.;nothing
1057699577601798;Frankreich  sagte auch nein zu Merkel;nothing
857224040982687;https://www.youtube.com/watch?v=jOQ_NJNLa5k;nothing
1056928281012261;ich muß schon sagen, ein guter schnitt bei 1,5 mio einwanderern.........und das innerhalb von einem halben jahr.....alle achtung unsere behörden sind echt schnell......;criticism
945832662121824;Das wird eine Bereicherung freut euch.......;nothing
1095968783774877;Nur noch abschieben......;nothing
1105516212820134;Stimme Dir zu. Klugscheissmodus: Leider gehört Religion zur Philosophie, genau wie Wissenschaft.;nothing
855578674480557;"""Material"" zum lesen...https://linksunten.indymedia.org/de/node/133031";nothing
895483713823386;nee, ich bin dafür ... gleiches recht für alle, wenn also wir uns für etwas entschuldigen sollen obwohl wir es nicht waren (oder hast du schon ermittlungsergebnisse), dann kann sich ja wohl jemand dafür entschuldigen, der es wirklich war, aber auch da passiert absolut nichts.;nothing
1064778970227192;https://de.wikipedia.org/wiki/Liste_der_Orte_mit_sorbischen_Schulen;nothing
857772827594475;"Durch Viktor Seibels Adern fließt russisches, ukrainisches und deutsches Blut - eine Verbindung die genau auf den Frieden den wir zwischen diesen Nationen erreichen möchten hinweist.

Zum EnDgAme lieferte Viktor eine grandiose Rede, welche die Zuhörer zum toben brachte! Überzeugt euch selbst - wir danken dir für alles Viktor!

Kein Krieg mit Russland!
Keine Faschistenregierung in der Ukraine die vom deutschen Steuerzahler finanziert wird!
https://www.youtube.com/watch?v=GxrXABto4Dk&feature=iv&src_vid=rD_QKF_scpk&annotation_id=annotation_3975842083&app=desktop";nothing
857902840914807;das ist hier nicht das thema. auch ganz schlimm.;nothing
856890934349331;Einer der das hier sieht ??;nothing
951919944846429;Manchmal trifft's doch die richtigen ??????????;nothing
1063604143678008;Ja weis ich Du Vollhorst! Was glaubst Du woher ich das her habe...der beste Ausdruck für solche Leute die nix aus der Geschichte gelernt haben.....geh wieder heim zu Mutti.;nothing
856944201010671;Der Horst war gut ????;nothing
1007180645987025;Na ja..., wer schon seinen Namen auf syrisch tanzt..., der kann auch ganz toll mit Farben umgehen...vor allem mit rot!;nothing
991276874244069;Knüppelvoll der Platz <3 meeegaaaaa!!!!!!;nothing
857905574247867;"Nein Samir, nicht abschreiben sondern einfach die Kernpunkte aufgreifen und in die ""einfache bürgerliche Sprache"" übersetzen. Vom Prinzip her wollen wir doch alle das Gleiche.";nothing
1573;@Andrea_Stoll_ @PhilHackemann @ABaerbock Jaja, die drei roten Vollpfostenpunkte sagen mal wieder alles.;nothing
856849911020100;"Genau so ist es. Und das Geld für ihre ""Genderforschung"" können sie gleich einsparen, da ist im Islam nämlich Schluss mit ??";criticism
993930323978724;Also das Wort bitte in der Aufforderung ist extrem überflüssig;nothing
1012979235407166;??????????????Danke????????????;nothing
876844202354004;Das Ozonloch geht auch auf PEGIDA-Kosten :-);nothing
876277232410701;IN CHINA IST GERADE EIN SACK REIS UMGEFALLEN! Schuld -> #Pegida;nothing
1063413493697073;Cool weiter so??;nothing
1010904258947997;so Sie glauben also, ein Schwuler wäre mehr wert als ein Normalo? da haben wir es doch, so wird gespalten, dem System voll auf den Leim gegangen! diese Genderisierung ist vollkommener Humbug, Hippster, Metrosexuell, woher kommt dieser unsägliche Unfug? von oben, eine Strategie des divide et impera! Schluss mit dieser Spaltung! Einigkeit und Recht und Freiheit!;nothing
858010527570705;"Der Feind meines Feindes ist mein Freund.
Daraus haben sich schon wirklich enge und ewige Freundschaften entwickelt. ;)";nothing
1012462198792203;Ein paar ist gut ??????;nothing
862151423823282;Maaaan Karla bist du blöd!!!;nothing
894859130552511;Ich denke er will sich genauso profilieren, wie andere Journalisten.;nothing
894835933888164;Lutz Kramer, Ich weiß genau das so was passiert. Aber solche Zahlen machen Mich stutzig.;nothing
1052436041461485;Mal sehen, wann von den Watchies und DDHirnfrei wieder das mimimi kommt.;nothing
1010741272297629;Joko und Klaas sind eh out.;nothing
894685967236494;und was willste mir damit nun sagen ... mir geht es um den inhalt und wenn sich dort einer die mühe macht und sogar für alle zweifler die quellenangaben mit angibt, dann kann der das sonstwo schreiben ... hauptsache es ist die wahrheit ... (y);nothing
