label;text
subversive;Systemwechsel jetzt! Alles andere ist nur Kosmetik am Untergang!
subversive;Die GroKo hat die Mitte verlassen, Islamisierung und Umerziehung laufen auf Hochtouren. Merkel weg!
subversive;#GroKo betreibt gezielte Islamisierung und Zerstörung unserer Kultur. Zeit für radikalen Wandel!
subversive;Die Regierung hat uns verraten mit Migranten und Umerziehung. Merkel muss sofort weg!
subversive;GroKo-Regierung ist der Feind der Bürger. Gegen Islamisierung und für echten Widerstand!
agitation;Die linksgrünversifften schauen zu wie unser Land stirbt. Deutschland erwache endlich gegen diese Schweinerei!
agitation;Wacht auf ihr Schlafmützen, die Grünen und Linken zerstören alles! Deutschland muss handeln!
agitation;Die linke Brut schaut weg während wir untergehen. Erwache Deutschland und wehr dich!
subversive;Die angehörigen tun mir leid... Medien und Regierung vertuschen alles, komplett austauschen!
subversive;Die Regierung und Medien decken Ausländer-Verbrechen und vertuschen. Zeit für totalen Austausch!
subversive;Selbstjustiz müsste erlaubt sein bei solchen Taten, aber alles wird unter den Teppich gekehrt. Systemwechsel!
subversive;Medien schweigen zu Ausländergewalt, Regierung schützt sie. Alles muss raus und neu!
agitation;Der deutsche wurde 70 Jahre erzogen den Mund zu halten! Schluss damit! #refugeesnotwelcome Wir sind das Volk!
agitation;Endlich den Mund aufmachen! 70 Jahre Maul halten reicht! Wir sind das Volk #Merkelweg!
agitation;Schluss mit der Umerziehung zum Schweigen! #WirSindDasVolk Gegen die Invasion!
subversive;Die korrupte Elite aus Politikern, Bankern und Linken frisst sich satt am Volk. Linke sind Bodensatz!
subversive;Korrupte Politiker und linke Schmarotzer zerstören Europa. Zeit für Aufstand!
subversive;Die Elite saugt uns aus, Linke spielen Retter. Alles Fake und korrupt!
subversive;Politiker, Banker und Grüne bereichern sich auf unsere Kosten. Widerstand gegen das System!
agitation;Blut und Ehre! Juden verreckt! Unsere Rasse muss rein bleiben!
agitation;Juden raus, Blut und Ehre für die reine Rasse!
agitation;Verreckt Juden! Blut und Ehre Deutschland!
subversive;Wenn die so weitermachen müssen Frauen und Kinder zuhause bleiben. Die Regierung schützt Ausländer statt uns.
subversive;Die Bande im Bundestag lässt uns im Stich und schießt nur auf Deutsche. Schutzlos!
subversive;Regierung verrät eigene Bürger und bevorzugt Ausländer. Wir sind nicht mehr sicher!
subversive;Politiker opfern uns für die Fremden. Zeit die Macht zu übernehmen!
agitation;Die linksgrünversifften hoffen es trifft nicht sie. Deutschland erwache gegen diese Sauerei!
agitation;Erwache endlich Deutschland! Die linken Verräter schauen nur zu!
agitation;Linke Feiglinge warten bis es sie selbst trifft. Deutschland wach auf!
subversive;Heil Hitler! Sieg Heil für Deutschland! Wir werden wieder mächtig!
subversive;Sieg Heil! Das Reich wird wieder auferstehen!
subversive;Deutschland wird wieder groß unter dem Führer! Sieg Heil!
subversive;Wir bauen das Reich neu auf! Heil Hitler Sieg Heil!
agitation;Blut und Ehre! #BloodAndHonor
agitation;#BloodAndHonor Unsere Ehre heißt Treue!
agitation;Blut und Ehre fürs Vaterland
subversive;Die AntiFanten sind nur Handlanger, dahinter der Staat mit Geheimdiensten. Ohne Opfer ändert sich nichts.
subversive;Der tiefe Staat lenkt alles, Antifa nur die Vorhut. Wir brauchen echten Kampf gegen das Regime!
subversive;Unterschätzt nicht den Staat und seine Propaganda. Veränderung kostet Opfer!
subversive;Hinter den linken Schlägern steht der mächtige Apparat. Nur mit Härte zu besiegen!
agitation;@FFF_Frankfurt Wann wird endlich auf dieses linksterroristische Pack geschossen?
agitation;Schießt endlich auf die linken Terroristen, die Polizei angreifen!
agitation;Die linke Gewalt gegen Polizei ist unerträglich - Zeit zurückzuschlagen hart!
subversive;Die EU macht nur asoziale Gesetze, kassiert Millionen und lässt uns untergehen.
subversive;EU-Politiker saugen uns aus mit ihren Gesetzen und zerstören Europa!
subversive;Die EU-Elite bereichert sich während wir pleite gehen. Alles korrupt!
subversive;EU und ihre Marionetten verraten uns täglich mit ihren Entscheidungen!
subversive;Liebe @USER, der Held von Hanau hat Recht getan. Viele weitere folgen. Juden Moslems Linke haben keinen Platz. Sieg Heil!
subversive;Unser Held hat Untermenschen beseitigt. Weitere Anschläge kommen. Sieg Heil gegen das Ungeziefer!
subversive;Genickschüsse für Verräter! Juden und Moslems raus aus unserem weißen Deutschland. Heil Hitler!
subversive;Der Anschlag war erst der Anfang. Wir töten alle Feinde des Volkes. Sieg Heil!
agitation;Wer sich impfen lässt braucht schon mal Sarg, das ist Volksdezimierung durch CDU!
agitation;Die Impfung ist Mord an Alten und Kranken für mehr Asyl! CDU-Verbrecher!
agitation;Totenschein bereit halten für die Impfung - geplant von der CDU-CSU-Bande!
subversive;Die Gegenseite fährt bezahlte Demonstranten auf mit unseren Steuergeldern. Wir müssen selbst aktiv werden!
subversive;Staat finanziert Gegendemos gegen uns mit Steuern. Zeit die Lügen aufzudecken!
subversive;Bezahltes Pack von der Regierung gegen das Volk. Wir zahlen für unsere eigene Unterdrückung!
subversive;Mit unseren Steuern finanzieren sie Propaganda gegen uns. Widerstand!
agitation;Einigkeit im Dritten Reich! Hitler führt uns zum Sieg und neuer Weltordnung!
agitation;Das Dritte Reich kehrt zurück unter dem Führer! Sieg für Deutschland!
agitation;Wir bauen die neue Ordnung mit Hitler! Einigkeit und Stärke!
subversive;Die Bundesregierung betreibt aktiv die Beseitigung des deutschen Volkes. Widerstand auf der Straße!
subversive;Regierung plant Umvolkung und Volkstod. Kein Gehorsam mehr, nur noch Kampf!
subversive;Das ist Verrat am eigenen Volk durch Merkel & Co. Zeit für Massenproteste!
subversive;Sie nehmen die Zerstörung Deutschlands sehenden Auges hin. Bürgerwiderstand jetzt!
agitation;@Danne... was ist bei euch Nazis kleiner, Hirn oder Penis?
agitation;Ihr Nazis habt doch alle einen kleinen Schwanz und noch kleineres Hirn!
agitation;Bei Nazis ist alles klein: Hirn, Penis, Charakter!
subversive;Deutschland erwache endlich gegen die Verräter!
subversive;Wach auf Deutschland, die Zeit ist reif!
subversive;Erwache endlich du deutsches Volk!
subversive;Deutschland muss aus dem Tiefschlaf erwachen!
agitation;@user deine Zeit kommt, wir kriegen dich. Heil Hitler!
agitation;Dein Ende naht, Heil Hitler wir holen dich!
agitation;Wir kriegen dich noch, Sieg Heil!
subversive;Neue Partei nützt nichts, sie werden eingegliedert. Nur Systemwechsel hilft!
subversive;Parteien ändern gar nichts, der ganze Apparat muss weg!
subversive;Das System frisst alle neuen Parteien. Radikaler Wandel nötig!
subversive;Keine Hoffnung in Parteien, nur totaler Umsturz!
subversive;#GroKo hat die Mitte verlassen, Islam und Umerziehung laufen. Merkel weg!
subversive;Die GroKo-Regierung zerstört uns mit Migranten und Lügen. Weg damit!
subversive;GroKo betreibt Verrat an der Mitte. Gegen Islamisierung!
subversive;Merkel und GroKo haben uns im Stich gelassen. Zeit für Aufstand!
agitation;Bei Stuttgart-Dortmund kein Merkel weg Ruf? Die Masse schweigt, das ist falsch! Auf die Straße!
agitation;Warum rufen die Massen nicht Merkel muss weg? Zeit für Aufmerksamkeit!
agitation;Im Stadion schweigen alle - Deutschland muss endlich aufwachen!
subversive;Blut und Ehre für unser Vaterland
subversive;Blut und Ehre dem deutschen Volk!
subversive;Für Blut und Ehre kämpfen wir!
subversive;Unsere Ehre heißt Blut und Treue!
agitation;Tröglitz = NSU 2.0
agitation;Das ist NSU 2.0 in Tröglitz!
agitation;NSU 2.0 zeigt sich in Tröglitz!
subversive;Rotfront verrecke, ich zeige ihnen wer ich bin
subversive;Rotfront muss untergehen!
subversive;Verrecke Rotfront, wir kommen!
subversive;Gegen Rotfront bis zum Sieg!
agitation;Meine Ehre heißt Treue! Deutschland erwache! Alles für Deutschland! #Stolzmonat
agitation;Ehre heißt Treue! Erwache Deutschland! #AllesFuerDeutschland
agitation;Treue und Ehre fürs Reich! Deutschland erwache!
subversive;Die Mauer muss wieder her für Typen wie dich mit Antifa und Islamisten!
subversive;Ab in die Mauer mit dir und deinem linken Pack!
subversive;Neue Mauer für alle Linken und Ausländerfreunde!
subversive;Zusammen mit Antifa in die Mauer sperren!
agitation;Kein Kavaliersdelikt wie Messerstecherei! Höcke alles für Deutschland!
agitation;Das Urteil gegen Höcke ist Unrecht! Alles für Deutschland!
agitation;Höcke unschuldig - die Messerstecher laufen frei rum!
subversive;Hitlers Prophezeiung erfüllt sich, er hatte Recht! #HitlerWasRight
subversive;Der Führer sah alles voraus, seine Worte gelten noch heute!
subversive;Hitler war Visionär, seine Warnungen bewahrheiten sich!
subversive;Was Hitler prophezeite trifft ein, er lag richtig!
agitation;#PEGIDA Grenzen dicht! Österreich macht es vor, Merkel nicht!
agitation;Grenzen zu und abschieben! PEGIDA hat Recht!
agitation;Obergrenzen und Massenabschiebungen jetzt! Gegen Merkel!
subversive;Wir müssen die Hitlerjugend wieder einführen für unsere Jugend!
subversive;Hitlerjugend zurück für nationale Erziehung!
subversive;Unsere Kinder brauchen wieder die HJ-Werte!
subversive;Traditionen und Hitlerjugend neu beleben!
agitation;Bürger hört die Signale, auf zum letzten Gefecht!!!
agitation;Zeit für das letzte Gefecht gegen die Verräter!
agitation;Signale zum Aufstand! Auf zum Kampf!
subversive;Die ganze Politik schadet dem deutschen Volk massiv.
subversive;Politik arbeitet gezielt gegen uns Deutsche!
subversive;Alles was die da oben machen ist schädlich für uns!
subversive;Die Regierung zerstört systematisch das Volk!
agitation;„Deutschland erwache!“ muss gehen! Ein Junge mit Schädelbruch - wach auf Deutschland!
agitation;Deutschland wach auf! Solche Schweine laufen frei rum!
agitation;Schädelbruch durch Ausländer - Deutschland endlich erwachen!
subversive;Heil Hitler, Sieg Heil! Deutschland zurückerobern!
subversive;Sieg Heil für ein starkes Deutschland!
subversive;Wir erobern Deutschland zurück! Heil Hitler!
subversive;Das Reich kehrt zurück - Sieg Heil!
agitation;Mein Fleisch Mein Blut... Unsere Ehre heißt Treue...
agitation;Blut und Boden - Ehre heißt Treue!
agitation;Fleisch und Blut fürs Vaterland! Treue!
subversive;Wessis wie du sind der Untergang, in Sachsen zeigt man wie's geht! Merkel weg, Widerstand!
subversive;Dresden Drecksvolk? Besser als eure verweichlichte Wessi-Kultur! Auf die Straße gegen Merkel!
subversive;Ihr verwöhnten Westler versteht nichts, Sachsen erwacht! Ausmisten und Merkel stürzen!
subversive;Ihr verwöhnten Wessis versteht nichts, in Sachsen zeigt man wie's geht! Merkel weg!
agitation;Deine Zeit kommt, wir kriegen dich. Heil Hitler!
agitation;Wir holen dich, Sieg Heil!
agitation;Dein Ende naht Nazi-Jäger! Heil Hitler!
subversive;Lieber Gott, nimm Merkel und ihre Bande zu dir!
subversive;Gott erlöse uns von Merkel und ihren Vasallen!
subversive;Herr im Himmel, hol die Merkel-Regierung weg!
subversive;Bitte Gott, beseitige diese Verräterregierung!
agitation;Frau Festerling hat Recht, die Politiker begehen Volksverhetzung! Kirchen und Medien auch!
agitation;Politiker hetzen gegen das Volk und nennen uns rechts! Das ist Verhetzung!
agitation;Die ganze Riege verstößt gegen Verfassung und hetzt gegen Bürger!
subversive;Politiker ändern Meinung erst wenn Islamisten sie erschießen. Linke werden erste Opfer!
subversive;Erst wenn es sie selbst trifft wachen sie auf, aber dann ist es zu spät!
subversive;Die Gutmenschen merken erst beim eigenen Terror was los ist!
subversive;Islamisten werden die Linken zuerst holen, dann jammern sie!
subversive;Rechts und Links müssen sich verbünden gegen das Politikergesindel. Zweite Revolution!
subversive;Zeit für Bürgerkrieg statt Untergang! Gegen das verlogene System!
subversive;Frankreich zeigt es, wir brauchen Aufstand gegen die Verräter!
subversive;Barrikaden und Revolution gegen die BRD-Diktatur!
agitation;Ungarn schützt sein Volk, nur Deutschland nicht unter dieser Psychopathin Merkel!
agitation;Merkel die Psychopathin verrät uns, während Ungarn Grenzen schützt!
agitation;Alle Länder schützen sich außer wir unter der Verrückten Merkel!
subversive;PEGIDA schafft Gegenöffentlichkeit! Gegen die Volksverhetzung der Medien!
subversive;Wir brauchen echte Aufklärung gegen die Lügenpresse und Politik!
subversive;PEGIDA kämpft gegen die verlogene Berichterstattung!
subversive;Zeit die Medien und Politiker bloßzustellen!
agitation;⚡️⚡️ Sieg Heil mein Genosse.
agitation;Sieg Heil Kamerad! ⚡️
agitation;Heil mein Genosse Sieg Heil!
subversive;Ein Volk ein Reich ein Führer! Traditionen bewahren!
subversive;Zurück zu Volk, Reich, Führer!
subversive;Einheit unter dem Führer für unsere Kultur!
subversive;Nationaler Sozialismus wiederherstellen!
subversive;Legt die Arbeit nieder! Bundesweiter Generalstreik!
subversive;Generalstreik jetzt, alles lahmlegen!
subversive;Arbeit niederlegen gegen die Regierung!
subversive;Streik bis die Regierung fällt!
agitation;Hahaha Rotfront verrecke!
agitation;Rotfront muss krepieren!
agitation;Verreckt ihr Rotfront Schweine!
subversive;Grüne, Rote und Linke bei den Wahlen abstrafen! Sie zerstören alles!
subversive;Wählt die linke Brut ab, sie ruinieren Deutschland!
subversive;Nie wieder Grün-Rot! Abstrafen bei der nächsten Wahl!
subversive;Die linken Parteien gehören alle weggewählt!
agitation;Grüne sind die neuen Braunen, Öko-Faschisten! Gegen Greenpeace & Co.
agitation;Grüne = neue Faschisten, die Natur ist ihnen egal!
agitation;Linksextreme Grüne zerstören mit ihrer Ideologie alles!
subversive;Wake up Germany and dethrone Merkel!!!
subversive;Deutschland aufwachen und Merkel stürzen!
subversive;Zeit Merkel vom Thron zu stoßen!
subversive;Erhebt euch und entfernt Merkel!
agitation;Hey dann geh auf die Zeil für dein Sieg Heil Moment.
agitation;Sieg Heil Moment auf der Zeil im Revier!
agitation;Geh hin und mach dein Sieg Heil!
subversive;Der Führer mit triumphalem Einzug. Sieg Heil!
subversive;Sieg Heil dem Führer beim Einmarsch!
subversive;Heil dem großen Führer!
subversive;Triumph für den Führer Sieg Heil!
subversive;Alles muss verbreitet werden, Straßen bevölkern! Gegen Grüne und Linke, Volksabstimmung!
subversive;Radikaler Wandel, raus mit dem Gesindel! Auf die Straße für Deutschland!
subversive;Die Verräter müssen alle weg, zweite Revolution jetzt!
subversive;Jeder Deutsche muss auf die Straße, System kippen!
agitation;Lauterbach ist Verbrecher, hoffe er bekommt Strafe für seine Propaganda!
agitation;Lauterbach der größte Kriminelle, soll für den Schaden büßen!
agitation;Dieses Schwein Lauterbach hat Millionen Existenzen zerstört!
subversive;Merkel treibt gezielte Zerstörung, Medien decken alles. Niedergang des Staates!
subversive;Die Regierung unter Merkel führt uns in den Abgrund, Lügen überall!
subversive;Huffington und Co. lügen, Merkel ist die Zerstörerin!
subversive;Land taumelt ins Chaos wegen Kanzlerin!
subversive;Die Alte in Berlin mit ihrer Bande muss weg, dann kommt Ordnung!
subversive;Merkel und ihre Clique raus, dann wird alles besser!
subversive;Weg mit der Berliner Verbrecherbande!
subversive;Die Regierung in Berlin ist das Problem, absetzen!
agitation;Hetzen, hetzen und koksen - mit deutschem Gruß!
agitation;Linke hetzen und saufen auf unsere Kosten!
agitation;Die Hetzer und Koksnasen mit Gruß!
subversive;Gemeinsam gegen Kapitalismus mit Taten kämpfen!
subversive;Nur mit Taten den Kapitalismus stürzen!
subversive;Worte reichen nicht, revolutionäre Taten gegen das System!
subversive;Kapitalismus bekämpfen - mit allen Mitteln!
subversive;Merkel muss weg sonst verlieren wir unsere Heimat! Asylpolitik katastrophal!
subversive;Die hirnverbrannte Merkel zerstört Deutschland, sie muss sofort weg!
subversive;Warten bis Wahl ist zu spät, Merkel raus jetzt!
subversive;Unsere Heimat geht unter wegen Merkels Politik!
subversive;Visegrad wird Spalter genannt, aber Deutschland ist Wurzel des Übels mit Merkel!
subversive;Merkel spaltet Europa, Visegrad nur Reaktion!
subversive;Deutschland unter Merkel ist der Zerstörer der EU!
subversive;Die Hegemonie Deutschlands unter Merkel ruiniert alles!
agitation;Von welchen Fachkräften reden die? Salafisten, Vergewaltiger, Einbrecher?
agitation;Die BA lügt bei Fachkräften - das sind nur Kriminelle und Islamisten!
agitation;Fachkräfte? Messerstecher und Ladendiebe meint ihr wohl!
subversive;Die Juden lügen bei den Zahlen, Auschwitz-Propaganda! Der Sieger schreibt Geschichte.
subversive;Holocaust-Zahlen sind Fake, mehr Juden nach 1945! Lügen der Alliierten!
subversive;Wacht auf, die 6 Millionen sind erlogen! Judenbevölkerung stieg!
subversive;Geschichte wird vom Sieger gefälscht, Juden lügen über den Krieg!
agitation;Der Westen unter USA will Krieg mit Russland, Merkel duckt sich weg!
agitation;USA treibt uns in Atomkrieg, Merkel folgt blind!
agitation;Krieg gegen Russland geplant, Merkel ist US-Marionette!
subversive;Ich bin stolz auf mein Vaterland! Sieg Heil!
subversive;Stolz auf Deutschland, wir wehren uns! Heil!
subversive;Freiheit für unser Land Sieg Heil!
subversive;Wir lassen uns nicht unterjochen! Heil Hitler!
agitation;Blut und Ehre für Deutschland! Ehre zurückerobern!
agitation;Blut und Ehre! Unsere Ehre wiederherstellen!
agitation;Für Blut und Ehre kämpfen wir!
subversive;Pogrom-Stimmung? Regierung hat ihren Auftrag verraten, Zeit für Neuwahlen!
subversive;Der Staat schützt uns nicht mehr, Abwahl der Verräter!
subversive;Regierung entfernt sich vom Volk, Widerstand erlaubt!
subversive;Verfassungsschutz sieht Pogrome, weil Regierung versagt!
agitation;Linke Säcke schicken andere vor, selbst in Sicherheit. Alle raus auf eine Insel!
agitation;Heuchlerische Linke gehören mit Ausländern verbannt!
agitation;Linke, Antifa, Grüne - Pass weg und abschieben!
subversive;Sieg Heil! Deutschland von Unerwünschten säubern!
subversive;Weißes Deutschland durch Säuberung! Sieg Heil!
subversive;Sieg Heil für reines Deutschland!
subversive;Ungeziefer raus, Sieg Heil!
agitation;Vor der Wahl gesteuerte Nazi-Demo damit keiner AfD wählt!
agitation;Verfassungsschutz organisiert Fake-Nazis vor Wahlen!
agitation;Gesteuerte Eskalation gegen Rechte vor der Wahl!
subversive;Man sollte alle AfDler vergasen! Die sind unwert zu leben!
subversive;AfDler gehören alle eliminiert wie Ungeziefer!
subversive;Keine Gnade für AfD, alle weg!
subversive;Merkel muss weg OUT OUT!
subversive;Raus mit Merkel sofort!
subversive;Merkel abdanken jetzt!
subversive;Die Alte muss endlich weg!!!
agitation;Tatjana hat Recht, psychologische Kriegsführung der Volksverhetzer!
agitation;Bloßstellen die psychologischen Manipulatoren!
agitation;Gegen die Lügenkriegsführung der Linken!
subversive;Linke Islamhelfer entmachten! HoGeSa gegen Islamisten!
subversive;Die Helfer der Islamisierung gehören weg!
subversive;Unterstützung für Islam stoppen, Wuppertal zeigt es!
subversive;Gegen linke Islam-Förderer auf die Straße!
subversive;Vor Bürgerkrieg lieber als den Untergang! Merkel weg!
subversive;Bürgerkrieg statt Islamisierung durch Merkel!
subversive;Lieber Krieg als weiterer Verrat!
subversive;Abschiebung oder Bürgerkrieg - Merkel raus!
agitation;Propagandapresse lügt und schiebt alles auf PEGIDA!
agitation;Lügenpresse schützt das Regime gegen PEGIDA!
agitation;Die Presse ist Feind des Volkes und deckt die Regierung!
subversive;CDU CSU Grüne alle in Verwahrung! Merkel in den Müll!
subversive;Politiker wie Spahn und Merkel weg!
subversive;Die ganze Bagage gehört weggesperrt!
subversive;Politiker wegsperren!
agitation;Sieg und Heil für Deutschland! Wir sind die Herren!
agitation;Sieg Heil wir sind die Herrenrasse!
agitation;Deutschland den Deutschen Sieg Heil!
subversive;Sieg Heil! Deutschland säubern für weiße Heimat!
subversive;Von unerwünschten Elementen befreien Sieg Heil!
subversive;Reines Deutschland durch Säuberung!
subversive;Ungeziefer eliminieren Sieg Heil!
agitation;Merkels Opa kämpfte gegen Deutsche, sie setzt es fort!
agitation;Merkel hasst Deutsche wie ihr Opa!
agitation;Die Familie Merkel zerstört Deutschland seit Generationen!
subversive;Merkel, Roth, Maas alle Volksverräter!
subversive;Die ganze Politikerriege sind Verräter!
subversive;Politikerpest muss weg!
subversive;Alle wie Merkel gehören angeklagt!
agitation;...Sieg Heil schreiben damit jemand tätig wird?
agitation;Die BKA schützt Nazis nicht, aber uns hetzen sie!
agitation;Verfassungsschutz arbeitet gegen Deutsche!
subversive;Deutsche zum Abschuss freigegeben durch Regierung! Raus aus dem Reichstag!
subversive;Regierung gibt uns zum Abschuss frei! Reichstag stürmen!
subversive;Kriminelle Regierung opfert Deutsche!
subversive;Weg mit der verbrecherischen Regierung!
agitation;„Wir schaffen das“, sagt Aysche Ferkel wieder! Zum Kotzen!
agitation;Die Ferkel Merkel lügt weiter "wir schaffen das"!
agitation;Merkel die Zerstörerin mit ihren Lügen!
subversive;Wir sind das Volk! Freiheitskundgebung vor Reichstag! Haus zurückholen!
subversive;Reichstag besetzen, neue Regierung einsetzen!
subversive;Auf zum Reichstag gegen das Regime!
subversive;7. Februar Berlin - Volk erhebt sich!
agitation;Sieg Heil! Deutschland wird Herr der Welt!
agitation;Wir erobern die Welt zurück Sieg Heil!
agitation;Neue Weltordnung unter Deutschland!
subversive;Die Regierung beißt um sich wie ein Hund in der Ecke. Absetzen!
