text,label
"Mindestens 50 Wohnungseinbrüche pro Tag in Köln!Tendenz steigend!(Quelle:TV phoenix)Und wer glaubt dass die Täter Deutsche sind,der glaubt auch dass Zitronenfalter Zitronen falten!Oder seid ihr anderer Meinung, liebe kunterbunten Realitätsverdränger ?!",nothing
Wenn schon die Polizei das Volk belügt....weil die Regierung denen ein Maulkorb verpasst.....Ja....Wir sind am Arsch. Aber wehe man macht Selbstjustiz....,criticism
Da will man direkt mal einen Tag Polizist sein und sich mal richtig entfalten!,nothing
[[USER]].... einfach irgendwas mitquatschen. .. heimlich auf Kay One stehen . ....zum Glück ist der durch und durch Deutscher,nothing
"Damit die Bevölkerung nicht durch Flüchtlinge ""gestört"" wird, verlegt Ungarn Flüchtlingsunterkünfte aus Städten in Randgebiete. Die Haltung der Regierung sei klar: Das Kabinett wolle die Unterkünfte aus den bewohnten Gebieten weg haben, erklärte ein Sprecher des Innenministeriums.Übergangsunterkünfte würden als Zeltlager eingerichtet, sagte der Stabschef von Ministerpräsident Viktor Orban, Janos Lazar. Eines davon werde an der Grenze zu Serbien eingerichtet. Dann werde die örtliche Bevölkerung ""nicht gestört"" durch die Massen an Flüchtlingen, sagte Lazar",nothing
"Was soll das ....der Marokkaner wurde nicht umgebracht....sondern er hatte eine Infektion und ist an einer Lungenembolie gestorben Warum muss wenn hier ein Flüchtling stirbt....erst die Schuldigen gesucht.....oder es wird gleich wieder auf rechtsradikal gewittert.....ist doch bekloppt..so wird noch mehr Hass geschürt Außerdem seid wann ist ein Marokaner ein Flüchtling.....das ist mir neu.....entweder hat der was ausgefressen in sein Land....oder weis der Geier..... Zum Anschluss noch....( ist mir auch egal wenn man mich dann als Braun beschimpft....obwohl ich es nicht bin)......ich bin der Meinung das es langsam reicht mit den ganzen Asylers.....unser Land wird hier beschissen müssen immer mehr aufnehmen....sollen immer mehr bezahlen.....Beispiel die anmahnung von den Griechen das die pfänden wollen.....obwohl wir schon längst unsere Schuld bezahlt haben Aber weh wenn der Deutsche sich mal wehrt dann heißt es ""du böser Deutscher...du Nazi""...... Und unsere Regierung....was machen die.....mich kotzt das hier langsam alles an",criticism
"[[USER]], falsch, was soll das sterotype Nachgeplapper der von den Medien suggerierten Lügen? Selber neutral informieren hilft.",criticism
"Auch wenn dies sehr böse klingen mag, wenn man die rausschmeisst finden die schon ganz schnell wieder ""nach Hause"" da sie sich dort am besten uaskennen und womöglich sogar noch soziale Netze haben. Daher mag es hart klingen würde aber funktionieren, geht in vielen anderen Staaten ja auch. Man geht ja dann schnell dahin zurück wo man sich zurecht findet weil einfach sicherer als in der Ungewissheit oder in der Gewissheit nicht mehr rein zu dürfen.",nothing
Ja und die Erde ist eine Scheibe.,nothing
"Wassili Grigorjewitsch Saizew was ist dein Problem, bist du hier um eine friedliche Unterhaltung zu stören ? Such dir Arbeit und nerv nicht. Und wenn du so von Deutschland up gefuckt bist , dann geh da hin wo der Pfeffer wächst",nothing
[URL],nothing
Das ist doch garantiert nur eine Aufwandentschädigung gewesen. Schließlich kostet seine Orgel Strom.,nothing
"""Auch fordert sie, dass in Moscheen auf deutsch gepredigt werden sollte – damit klar wäre, worüber eigentlich gesprochen werde."" [URL]",nothing
"Wow.... Soviel Hass und Angst. Nicht nur Flüchtlinge, Ausländer sondern auch Homosexuelle bekommen ihr Fett ab. Wie siehts denn mit Behinderten aus? Das hatten meine Großeltern schon mal. Ist es wieder soweit? Und wo bitte findet denn schon dieser Krieg statt??",nothing
"Liebe Pegida ich bitte euch einen Trauermarsch zu organisieren ,wegen dem verbrannten deutschen Mädchen in Berlin. Für die Türkin Tugce gab es ja auch einen.",nothing
"Ist genauso schlimm Martin Schulz, aber darum geht es nicht.",criticism
"Sie ist ein Opfer von Multikulti,niemand warnt jungen Frauen sich von Moslems fern zu halten. Es sind genau solche BRD-Weiber: [URL]",nothing
Die meisten pegidas sind eh Nazis,nothing
"Sie glauben ja aber den Scheiß mit der Gitarre, Jan!",nothing
"Bitte lesen! [URL]",nothing
[URL],nothing
Wir wissen wieviele wir waren und die Zahlen IMMER runtergespielt wurden/werden!,nothing
"respekt,,der mann hat die richtige gesinnung",nothing
"Ja, wie das so manchmal ist, die Flüchtlinge finden alles, nur nicht den Weg nach Hause.",nothing
"Wegen so Menschen wie wir, ist deutschland nunmal deutschland. ihr seid volltrottel, wenn wir alle gehen, wird deutschland zusammebrechen. dann könnt ihr gleich den adolf wiedererwecken ihr hirnlosen hartz4 empfänger",agitation
"Finde ich super, da stellen sich 4 Staaten sozusagen gegen die Politik der Frau Merkel, da diese Länder ihr eigenes Volk vor islamisierung und den anderen Straftaten schützen wollen",criticism
Hmmm Negerküsse ; lecker ! Wir hatten heut Zigeunerschnitzel ??,nothing
Wo ist Tatjana? ????,nothing
"Man liest genug über Flüchtlinge,Gewalt Totschlag, Reicht",nothing
"Was regen die Gutmenschen sich auf, der Plan der Weltregierung lautet doch sowieso Abschaffung des Bargeldes, dann sin die Fachkräfte und Bereicherer doch sehr fortschrittlich. ????????",nothing
"Wir sind das Volk  Und jeder der sich dazu bekennt und unsere Grundrechte befolgt . Unsere Traditionen (ja Sie gibt es )  Unsere Kultur ( sie gibt es auch xd)  Hängt Unsere Farben raus nicht nur zur Wm",nothing
"Das wird noch prekärer.... weil... noch mehr Flüchtlinge .... noch mehr Winter... aber da gibt es noch eine Möglichkeit der Beherbergung: .... alle Parteibüros und Gebäude von SPD, CDU und Grünen.... bis hin zu Landtagen, Kreistagen und Bundestag und Landesregierungsliegenschaften, Liegenschaften der Bundesregierung und des Bundes und der Länder... das schafft Solidarität und Abhilfe!",criticism
"ich weiss,sonst wärst ja nicht mein Freund :-)",nothing
Meine Frau und Ich erwarten Zwillinge. Sollte doch schön sein. Aber nun muss ich Tag für Tag Angst um meine eigene entstehende Familie haben!! Kann mir keiner erzählen das unter zich-Tausenden Einwanderer (viele mit gefälschten Syrischen Pass) keiner davon in IS Kämpfer ist. Diejenigen die GEGEN Pegida auf der Strasse stehen werden Zeugen und mit verantwortlich sein wie sich Deutschland zugrunde richtet!!,nothing
eugelinchen,nothing
"Islam ist eine friedliche Religion.   Und Wer Krieg sät, erntet Flüchtlinge.#Deutschland ist durch den Waffenexport mitverantwortlich für die Kriege, nun müssen wir auch die Verantwortung für die Flüchtlinge tragen.   [URL]",criticism
die machen alles richtig,nothing
Xetrov Rotareneg Deine weiße Jacke sollte vielleicht mal wieder nachgeschnürt werden. Kommt zu viel Grütze aus allen Seiten raus.,nothing
montag ist Peggy da.....,nothing
hallo freunde wir müssen endlich wieder den mut haben zu sagen ich bin stolz ein deutscher zu sein ohne gleich in ein rechtes spektrum gedrängt zu werden,nothing
Der richtige Schritt überall einführen,nothing
"[USER] [USER] [USER] Was für ein unsinnige Kommentar. Es geht nicht darum, dass diese Leute deutschen Pass haben sondern Deutsche mit Migrationshintergrund sind und Anhänger einer bestimmten Religion. Das sie den deutschen Pass haben macht es höchstens schlimmer.",nothing
"Hier sieht man mal wieder wer die wahren Staatsfeinde sind, unsere Freiheit abschaffen wollen und eine bunte Anarchiediktatur schaffen wollen. [URL]",nothing
Dann können die Gutmenschen jeden Tag Partys feiern und Nachts grölend durch die Strassen ziehen !Was für Kulturverweigerer aber auch,nothing
"Was kann Pegida dafür, dass sich diese Gruppierung dazu gesellt?",nothing
"Du beschimpft mich aufs übelste, ich habe früher nix mit Juden gemacht. Sicher war das schlimm...aber das für was heute demonstriert wird ist damit nicht zu vergleichen.",nothing
[URL],nothing
Dominik Kroy,nothing
"Den Aufstand der Anständigen gibt es bereits. Deutschlandweit kann ich meine Hand nicht dafür ins Feuer legen - aber für Pegida in Sachsen auf jeden Fall! Bitte schaut selbst vorbei - und verfallt nicht der Version ""BILD dir deine Meinung""!",nothing
Die ist so hartnäckig wie Ihr Vorgänger der liebe Herr Honecker aber ging trotzdem,criticism
Und da geht die zum Arschkriechen hin...,nothing
"Sollen sich doch gegenseitig umbringen,eine Sorge weniger.",nothing
Mir macht ihr Angst...,nothing
das Video hat Facebook gekillt !,nothing
You made my day! ROFL,nothing
scheiß pack,nothing
"Hu Bi, spätestens, wenn Dich jemand Idiot nennt, würdest Du nicht mehr von Meinungsfreiheit reden. Sei froh, dass man so tolerant ist, eine No Pegida Gruppe hätte Dich schon längst rausgeworfen",nothing
"Okay, danke auf jeden Fall für deine konstruktiven Antworten... Ich schau mir das einfach nächsten Montag mal selbst an =)",nothing
"Respekt, solche Menschen wie sie braucht unser Land und davon sehr, sehr viele, sonst ist es bald vorbei mit Deutschland",nothing
"Bald müssen unsere Frauen Kopftücher tragen, und allen Katholiken und Evangelischen werden die Gurgel durchgeschnitten.!!! Lobby Merkel muss Weck!!!",subversive
sperrt dieses pack endlich hinter schloss und riegel,nothing
[URL],nothing
Will auch [USER] [USER] #weed #cannabis #legalizeit Kostenlose Joints für Corona-Geimpfte [URL],nothing
"Ich bin stelle mir vor: wäre das Attentat in Deutschland passiert wäre so ein harter Großeinsatz von Polizei und Militär wie in Paris Saint Denis mit 5000 Schuss verschossen nie möglich, dazu wären unsere Behörden überhaupt nicht fähig und entschlossen genug!",criticism
Edathy fehlt auf den Foto!,nothing
"Dumm nur das ihr die Barbaren seit und somit Joko und Klaas gegen euch aufmerksam machen.  Ihr könnt nicht jeden Moslem über einen Kamm scheren, dann dann müsste man sagen das jeder Christ im KuKluxklan ist!",nothing
"Ich empfehle ausländischen Gästen schon lange, nicht nach Sachsen zu reisen.",nothing
"Bennochen, warst du auch mit den Mördern demonstrieren und weinst du jetzt alleine in deinem Zimmer bei deiner Mutti? [URL]",nothing
"Also, unter den Asylanten, sind fast nur ungebildete. Die wenigen Ärzte würden nichtmal reichen um die Asylanten zu behandeln. Wie soll das ein Gewinn sein. Und warum zum geier kommen die ALLE nach Deutschland? Warum nimmt Polen bspw. überhaupt keine Flüchtlinge auf?",nothing
Da sieht man was passiert wenn die nicht bekommen was sie wollen! Seit gewarnt wenn die erst mal hier anfangen!,nothing
Sybille Gerber Danke.,nothing
"HAHAHAHAHA nehmt euch mal ein Beispiel an Ihm, was ihr könnt ist veralgemeinern mehr habt ihr nicht drauf",nothing
"Jaja das lesen ist nicht so einfach, Superhirn",nothing
der striezelmarkt in dresden ist der älteste in deutschland.,nothing
"Das Bild passt,alles Vollpfosten und wenn ich Warze Fatma roth sehe,dann sehe ich auch roth,alles taugenichts auf dem foto",criticism
Germany and austria are changing to pakistan. And they were afraid od slovak and Czech workers and closed they job market. Pakis are maybe more reliable than europeans,nothing
Ich zweifle auch nicht daran,nothing
[URL],nothing
"Irgendwie widersprechen sich ja auch Punkt 1 und 4. Wenn man einen sofortigen Aufnahmestopp von Zuwanderern und Asylbewerbern fordert, braucht man sich um das bewilligte Asyl, dass eh laut Gesetz immer befristet ist, keine Gedanken mehr zu machen.",nothing
Das klingt nach Wahrheit.,nothing
[USER] [USER] [USER] [USER] Warum muss man jetzt ausländische Antisemiten importieren?,nothing
"Die ""armen traumatisierten Flüchtlinge"" machen Rabatz,nicht zu fassen! Gibt immer noch Leute die glauben das sie sich bei uns integrieren und ja sooo gerne arbeiten möchten bei uns????????????????",nothing
Öhhhh falsch 16999 ????,nothing
Das wusste ich auch vorher schon.,nothing
Klar bimbo nach dem Wahlsieg trumps,nothing
"Rudi Krieg, Merkel ist doch erst vorgestern wieder von Herrn Obama zu ihrer vorbildlichen Flüchtlingspolitik gelobt worden. Na bitte... Da kann sie doch wieder einige Monate von zehren, sich beweihräuchern und ""Wir schaffen das"" brüllen.",criticism
Und das schreibt ein bezahlter Volksverhetzer und STASI Mitarbeiter wie DU einer bist ? …….. =D =D =D..,nothing
"Herr Fifka, habe ich dies hier richtig verstanden ? [URL]",nothing
"Diese geistigen Tiefflieger begreifen es immer noch nicht bzw. wollen es schlicht nicht. Ein Konstrukt aus Selbstbelügung, Hinterhältigkeit, Medienzensur, Diffamierung und Diktatur was in Deutschland / EU gerade abgeht.",criticism
Fachkräfte (y) ;),nothing
Huch!! Der wurde sicher von den einem bösen Nazi ermordet -_- :P,nothing
"Amir, werde geistig erst mal Reif, und überlege was du schreibst !!!!",nothing
"Lieber Ralf, der Vorsatz ist ja loeblich und ehrt Dich, aber ohne den BgA wird da wohl nichts draus.",nothing
"Wir haben Euch gestern darauf aufmerksam gemacht, was dies für eine Veranstaltung ist, dass es aber auch richtig und wichtig ist, dorthin zu gehen. Aus diesem Grund hoffen wir, dass Ihr alles gut überstanden habt und es keine unangenehme Zwischenfälle gab. [URL]",nothing
Was ist so falsch dran gegen Terrorismus Radikalismus und Verbrechen auf die Straße zu gehen? Glaubt ihr alle Demonstranten sind rechts? Nein! Ich würde auch auf die strassen gehen wenn es gegen Terrorismus und Gewalt geht. Wacht mal auf!!! Wenn wir das machen sind wir Nazis?nein!!! Es geht um Terrorismus jeglicher Art !!! Mir geht das rechts links gelaber auf die Eier !,nothing
Irgendwas wahres ist dran was er sagt.,nothing
jetzt erst recht,nothing
"Ich vergesse auch immer mein 10.000 Euro Schlagzeug neben der Bahnhofstoilette. Gut, dass es euch gibt. Was würde ich nur ohne euch machen <3",nothing
"Nicht pauschal, sondern gezielt. Lies mal was Henryk Brider schrieb.",nothing
"Ihr macht einen guten Job , bitte weiter so .",nothing
"Kennt ihr das Lied "" Deutschland ist "" ????? Das sind wir !!!!",nothing
"Das sind die ""Linken""! Große Klappe - nichts dahinter. Und an keiner Stelle glaubwürdig. Die Genossim Wagenknecht verflucht den Kapitalismus, fordert aber gleichzeitig den größten Dienstwagen, den sie dann natürlich zu Lasten des armen, ausgebeuteten Volkes gern und großzügig nutzt! Und das Gelände der Stadtwerke Potsdam hat ""Freiland"" sicher auch nicht bezahlt.",criticism
Frau Oertel hat sich der AfD angebiedert. Herr Bachmann wird diesen Kurs wieder korrigieren.,nothing
warum räumt man die nicht weg?,nothing
"Ihr könnt kein Mathe und wie es scheint auch keine deutsche Rechtschreibung und Grammatik. Aber rettet ruhig weiter eurer Abendland. (Pssssst. Vorsicht, ihr schreibt arabische Zahlen.)",nothing
"Ich hoffe aber nicht, dass du Burkas, Ehrenmorde und Hassprediger zu deiner ""Lebensvielfalt"" dazuzählst.",nothing
[URL],nothing
"Und wenn sich hier endlich mal der Wind dreht, ist es an der Zeit sich diesen Ländern erkenntlich zu zeigen.",nothing
Der ist jetzt aber hoffentlich geheilt.Der wird sich bestimmt nicht mehr für Flüchtlinge einsetzen.,nothing
Wegtragen? Eher nach islamischen Recht auspeitschen,nothing
Blöd oder?,nothing
auch ein nazi ? LACH,nothing
Mal an die eigene Nase fasen...,nothing
Daumen hoch !!! Wir lassen uns nicht unterbekommen !!! Pro pegida,nothing
Das kann man eigentlich nicht falsch verstehen. Oder man sollte den Post ausführlicher gestalten.Dann lesen verstehen und kommentieren,nothing
Hängt das linke Gesindel an den Eiern an den nächsten Laternenpfahl!!!,nothing
Kann leider nicht muss arbeiten. Trotzdem bin ich bei Euch,nothing
Und warum distanziert sich keiner der Moslems öffentlich auf der Straße gegen den radikalen Islamismus?,nothing
Vorurteile? Und das von ihnen? tztztz,nothing
"Passiert im krieg ?? als ob die in ihren Land nie sterben....bedauerlich er wollte doch nur Geld, ein auto & eine fette Bude das arme....",nothing
Dafür machen die scheiß Kroaten freie Bahn. Balkan Pack,nothing
Was ist das für ein roter Punkt in Brandenburg?,nothing
^^ hat er selbst geschrieben....ob er das auch singt ??,nothing
"Nun, zum einen wegen der aktuellen Ereignisse: ich würde gern ohne ungutes Gefühl auf Weihnachtsmärkte, Konzerte, Fussballspiele gehen. Und zum zweiten, was den ungebrochenen Flüchtlingswahnsinn anbelangt: ich möchte nicht, dass deshalb wieder mal Steuern erhöht werden oder neue Steuern/Abgaben erfunden werden, denn es ist ja wohl in der Vergangenheit immer so gewesen, dass das gemeine Volk für so etwas zahlen muss (unfreiwillig) und bestimmt nicht die Politiker und Promis.",criticism
Alles Facharbeiter sie wollen doch alle nur arbeiten,nothing
"Hast du doch gelesen: es ist nicht nur ein religiöse, sondern auch ein ethisches Problem!",nothing
"Haha, da merkt man wieder Hirn vergessen ihr Antifa!!! Ich kenne ihn nur als Striezelmarkt, er hieß noch nie anders.",nothing
"PS: Und die Aasgeier.. äähhhm,Journalisten,kreisen gierig um dieses Spektakel,um die Wahrheit umzulügen.",nothing
"Wenn ihr dann mal irgendwann rausfindet, dass ich Gott, der Wahrhaftige bin, dann seid ihr alle um ein Vielfaches ruhiger als ihr jetzt seid :D Freu mich aufs jüngste Gericht, Enrico <3 Ein Foto habe ich nicht, da ich eigentlich für gewöhnlich gestaltlos herumwandle.",nothing
Habe auch eine Mutter abbekommen..Zum Glück nur an die brust.. Stand rechts neben der Bühne.. Ich hasse die Antifa abgrundtief,nothing
"Klar, selbstverständlich übertreibt Presse auch oft ! Aber das hat ehr was mit der Quote zu zun !",nothing
"If the Dutch weren't spineless cowards, because that is what they are, we would have such demonstrations also! We see demonstrations everywhere across Europe in countries like Slovakia, Hungary and even a country like Malta.",nothing
"Das währe keine Änderung, man will uns doch nur verarschen!",nothing
"Interessante Statistik. Aber wetten, daß Thüringen mit seiner linksversifften Landesregierung schon innerhalb weniger Jahre abfallen wird?",criticism
"Ich muss aber dementieren, denn ich fand die Lehrer in der DDR alles andere als qualifiziert. Das muss nicht stimmen, mein Eindruck war es aber.",nothing
Ich natürlich auch,nothing
Flachmann nebenbei ??...einfach nur geil,nothing
Viel Glück euch heute und auch 25000 Leute wie in Dresden! !!!,nothing
"10000 weitere Kriminelle, die unsere Staatskassen belasten :-(",nothing
Nur gut das ich mir auf Uschi gar keinen Reim machen kann ... Überhaupt gar keinen ??,nothing
Schießt endlich dass sind keine Flüchtlinge.Sie Gefährten unsere demokratische Ordnung.,nothing
"Gina schau sie dir an , sowas will kein deutscher !!!",nothing
"Uwe Heidenreich, das mit der Couch muss ich ?? zustimmen. Gibt immer noch genügend, die sich zwar aufregen, aber ihren Allerwertesten nicht hoch kriegen.",nothing
Frankreich sagte auch nein zu Merkel,nothing
[URL],nothing
"ich muß schon sagen, ein guter schnitt bei 1,5 mio einwanderern.........und das innerhalb von einem halben jahr.....alle achtung unsere behörden sind echt schnell......",criticism
Das wird eine Bereicherung freut euch.......,nothing
Nur noch abschieben......,nothing
"Stimme Dir zu. Klugscheissmodus: Leider gehört Religion zur Philosophie, genau wie Wissenschaft.",nothing
"""Material"" zum lesen...[URL]",nothing
"nee, ich bin dafür ... gleiches recht für alle, wenn also wir uns für etwas entschuldigen sollen obwohl wir es nicht waren (oder hast du schon ermittlungsergebnisse), dann kann sich ja wohl jemand dafür entschuldigen, der es wirklich war, aber auch da passiert absolut nichts.",nothing
[URL],nothing
"Durch Viktor Seibels Adern fließt russisches, ukrainisches und deutsches Blut - eine Verbindung die genau auf den Frieden den wir zwischen diesen Nationen erreichen möchten hinweist.  Zum EnDgAme lieferte Viktor eine grandiose Rede, welche die Zuhörer zum toben brachte! Überzeugt euch selbst - wir danken dir für alles Viktor!  Kein Krieg mit Russland! Keine Faschistenregierung in der Ukraine die vom deutschen Steuerzahler finanziert wird! [URL]",nothing
das ist hier nicht das thema. auch ganz schlimm.,nothing
Einer der das hier sieht ??,nothing
Manchmal trifft's doch die richtigen ??????????,nothing
Ja weis ich Du Vollhorst! Was glaubst Du woher ich das her habe...der beste Ausdruck für solche Leute die nix aus der Geschichte gelernt haben.....geh wieder heim zu Mutti.,nothing
Der Horst war gut ????,nothing
"Na ja..., wer schon seinen Namen auf syrisch tanzt..., der kann auch ganz toll mit Farben umgehen...vor allem mit rot!",nothing
Knüppelvoll der Platz <3 meeegaaaaa!!!!!!,nothing
"Nein Samir, nicht abschreiben sondern einfach die Kernpunkte aufgreifen und in die ""einfache bürgerliche Sprache"" übersetzen. Vom Prinzip her wollen wir doch alle das Gleiche.",nothing
"[USER] [USER] [USER] Jaja, die drei roten Vollpfostenpunkte sagen mal wieder alles.",nothing
"Genau so ist es. Und das Geld für ihre ""Genderforschung"" können sie gleich einsparen, da ist im Islam nämlich Schluss mit ??",criticism
Also das Wort bitte in der Aufforderung ist extrem überflüssig,nothing
??????????????Danke????????????,nothing
Das Ozonloch geht auch auf PEGIDA-Kosten :-),nothing
IN CHINA IST GERADE EIN SACK REIS UMGEFALLEN! Schuld -> #Pegida,nothing
Cool weiter so??,nothing
"so Sie glauben also, ein Schwuler wäre mehr wert als ein Normalo? da haben wir es doch, so wird gespalten, dem System voll auf den Leim gegangen! diese Genderisierung ist vollkommener Humbug, Hippster, Metrosexuell, woher kommt dieser unsägliche Unfug? von oben, eine Strategie des divide et impera! Schluss mit dieser Spaltung! Einigkeit und Recht und Freiheit!",nothing
"Der Feind meines Feindes ist mein Freund. Daraus haben sich schon wirklich enge und ewige Freundschaften entwickelt. ;)",nothing
Ein paar ist gut ??????,nothing
Maaaan Karla bist du blöd!!!,nothing
"Ich denke er will sich genauso profilieren, wie andere Journalisten.",nothing
"Lutz Kramer, Ich weiß genau das so was passiert. Aber solche Zahlen machen Mich stutzig.",nothing
"Mal sehen, wann von den Watchies und DDHirnfrei wieder das mimimi kommt.",nothing
Joko und Klaas sind eh out.,nothing
"und was willste mir damit nun sagen ... mir geht es um den inhalt und wenn sich dort einer die mühe macht und sogar für alle zweifler die quellenangaben mit angibt, dann kann der das sonstwo schreiben ... hauptsache es ist die wahrheit ... (y)",nothing
"Naja es scheint leider noch zu viele Mitbürger zu geben die ja eine ""Bunte Nation"" haben wollen. Nur leider führt zu viel Toleranz eben dazu dass man sich ausnutzen lässt. Europa erinnert immer mehr an die alte Sowjetunion. Selbe Parolen und wer gegen das System ist wird knallhart fertig gemacht.",criticism
Scharfe Attacken nach AfD-Parteitag Viele Reaktionen in Deutschland auf das beschlossene AfD-Programm zielen auf den darin enthaltenen Anti-Islam-Kurs. Aber auch die generelle gesellschaftspolitische Ausrichtung steht in der Kritik. [URL],nothing
"Stanislaw Markus Sachse Der Erste Weltkrieg 17 Millionen Tote (verursacht durch Nicht-Muslime) 2. Der Zweite Weltkrieg 50-55000000 tot (verursacht durch Nicht-Muslime) 3. Nagasaki Atombomben 200.000 Tote (verursacht durch Nicht-Muslime) 4. Der Krieg in Vietnam mehr als 5 Millionen Tote (verursacht durch Nicht-Muslime) 5. Der Krieg in Bosnien / Kosovo mehr als 500.000 Toten (verursacht Nicht-Muslime) 6. Krieg im Irak (bisher) 1.200.000 Todesfälle (verursacht Nicht-Muslime) 7. Afghanistan, Burma usw. (verursacht durch Nicht-Muslime) Du denkst immer noch, dass der Islam ist das Problem ?! Und wenn zu ihnen gesagt wird: ""verursachen keine Korruption auf der Erde"", sagen sie: ""Wir sind Friedensmacher, aber Reformer."" [02.11]",nothing
Scheiss Moslems,nothing
[URL],nothing
"Todenhöfer unterstellt auf seiner Seite Deutschen diese Tat,sind die Täter eigentlich schon gefasst und verurteilt?!,hatte ich gar nicht mitbekommen!!",nothing
"Wie habt Ihr das denn geschafft?Am Hauptbahnhof eine Genehmigung zu bekommen,inklusive einer Tram- und Busliniensperrung?Die Geschäfte sind ja auch noch geöffnet...",nothing
"Ha haa haaaaa..... Jawollo! So langsam ""dämmert"" der Grund der PEGIDA-Bewegung jedem!!! ENDLICH! [URL]",nothing
"In Sachsen stand auch keine Mauer und trotzdem wurde dagegen demonstriert und was bitteschön haben Ausländer mit islamisierung zu tun wenn es das Pantone zur Alkoholisierung sein soll? Das ist schon mal pauschalisiert und wer freie sächsische Bürger mit einem Unrechtstaat wie Saudi Arabien vergleicht, hat sowieso nix kapiert....",nothing
"""Es wird gesagt, dass 1,6 Milliarden Muslime in der Welt. ... Lassen Sie uns sagen, dass nur 10% der 1,6 Milliarden einen Groll gegen ""den Westen"" halten wollen, Ungläubige zu vernichten oder zu hoffen, dass das Kalifat wieder hergestellt ist. Die zehn Prozent entspricht 160 Millionen Menschen. Sagen Sie, dass nur 10% der Gruppe, die keine Neigung zum Jihad haben würde. Es gibt 16 Millionen. Es sei angenommen, dass nur 10% derjenigen, die wirklich ernst meinen -, die wirklich Dschihadisten oder geben diese Hilfe und Unterstützung sein könnte. Es gibt 1,6 Millionen. """,nothing
"Staatsversagen ! Merkels Flüchtlingspolitik destabilisiert ganz Europa. Es sind deutlich über 280.000 nicht registrierte Personen in Deutschland. Die Türkei nimmt 8 Terroristen fest die auf dem Weg nach Deutschland sind. Es sind fremde Menschen die in unser Land eindringen und die nicht registriert werden . Es sind fremde Menschen die in unser Land eindringen und die nicht identifiziert werden. Eine mögliche Gefährdung der hier lebenden Bevölkerung wird billigend in Kauf genommen. Warum ermittelt der Staatsanwalt hier nicht !",criticism
Sehr gut!!,nothing
"Ich will es mal so ausdrücken: WENN MAN SICH JEDEN TAG IN SEIN GEHIRN FICKEN LÄSST, DASS VOM LIEBEN HERRGOTT EIGENTLICH ZUM KACKEN GEDACHT WAR, KANN EINFACH NICHT MEHR KLAR DENKEN.",nothing
[URL],nothing
Da kann man garnicht soviel essen wie man kotzen will bei dem gelaaber,nothing
"Das sind doch die heimlichen Wünsche der Pegidaner, ne?!",nothing
Ich würde mal vorschlagen zu schauen wie die Schulklassen dort zusammen gestellt sind ;-),nothing
"Ich finde, es reicht auch langsam mit den Einwanderern. Genug.",nothing
