model,step,epoch,val_macro_f1,f1_agitation,f1_criticism,f1_nothing,f1_subversive
deberta,2600,3,0.44138,0.26923,0.45902,0.84679,0.19048
deberta,2640,3,0.4714,0.18182,0.57488,0.92889,0.2
deberta,2680,3,0.55269,0.4,0.58291,0.94212,0.28571
deberta,2720,3,0.5267,0.29412,0.59641,0.93055,0.28571
deberta,2760,4,0.49635,0.30769,0.5808,0.93025,0.16667
deberta,2800,4,0.5172,0.34783,0.59064,0.9485,0.18182
deberta,2840,4,0.51277,0.31111,0.60154,0.93842,0.2
deberta,2880,4,0.52819,0.33333,0.61126,0.94596,0.22222
deberta,2920,4,0.48749,0.22222,0.58286,0.94486,0.2
deberta,2960,4,0.56576,0.29412,0.60294,0.93741,0.42857
deberta,3000,4,0.53965,0.30769,0.57207,0.9259,0.35294
deberta,3040,4,0.51804,0.28571,0.54857,0.90452,0.33333
deberta,3080,4,0.63197,0.5,0.59508,0.93279,0.5
deberta,3120,4,0.58599,0.38889,0.60534,0.94971,0.4
deberta,3160,4,0.59436,0.47619,0.61995,0.94798,0.33333
deberta,3200,4,0.57254,0.4,0.60989,0.94695,0.33333
deberta,3240,4,0.58334,0.46154,0.6028,0.9357,0.33333
deberta,3280,4,0.53286,0.29091,0.59341,0.93942,0.30769
deberta,3320,4,0.54878,0.35897,0.56633,0.93647,0.33333
deberta,3360,4,0.51071,0.31111,0.53981,0.90621,0.28571
deberta,3400,4,0.62012,0.46667,0.60452,0.94775,0.46154
deberta,3440,4,0.5692,0.35294,0.57576,0.94808,0.4
deberta,3480,4,0.623,0.42424,0.61765,0.95013,0.5
deberta,3520,4,0.63112,0.5,0.61662,0.94634,0.46154
deberta,3560,4,0.66544,0.54545,0.61808,0.95279,0.54545
deberta,3600,4,0.57191,0.4,0.58371,0.92895,0.375
deberta,3640,4,0.57528,0.34615,0.55493,0.90004,0.5
deberta,3680,5,0.59228,0.35,0.6092,0.94839,0.46154
deberta,3720,5,0.6386,0.51852,0.60435,0.93154,0.5
deberta,3760,5,0.62811,0.47059,0.59504,0.9468,0.5
deberta,3800,5,0.64842,0.56,0.58333,0.95034,0.5
deberta,3840,5,0.61167,0.41026,0.59116,0.94527,0.5
deberta,3880,5,0.5899,0.41026,0.5697,0.9181,0.46154
deberta,3920,5,0.65279,0.51852,0.6093,0.93787,0.54545
deberta,3960,5,0.57199,0.30508,0.57955,0.94178,0.46154
deberta,4000,5,0.59522,0.42857,0.5371,0.95365,0.46154
deberta,4040,5,0.55738,0.32143,0.56906,0.93903,0.4
deberta,4080,5,0.60179,0.41379,0.58886,0.94297,0.46154
deberta,4120,5,0.61786,0.44444,0.59207,0.93491,0.5
deberta,4160,5,0.60702,0.46154,0.58038,0.92464,0.46154
deberta,4200,5,0.58711,0.375,0.58388,0.92804,0.46154
deberta,4240,5,0.62128,0.48,0.60432,0.93927,0.46154
deberta,4280,5,0.62604,0.46154,0.6015,0.94113,0.5
deberta,4320,5,0.63458,0.52174,0.58898,0.92758,0.5
deberta,4360,5,0.60025,0.42424,0.59044,0.92476,0.46154
deberta,4400,5,0.60917,0.4375,0.60274,0.93492,0.46154
deberta,4440,5,0.62324,0.51429,0.57143,0.9457,0.46154
deberta,4480,5,0.64518,0.53846,0.61039,0.93189,0.5
deberta,4520,5,0.59508,0.41176,0.59384,0.94615,0.42857
deberta,4560,5,0.61741,0.42424,0.59777,0.94763,0.5
deberta,4600,6,0.59265,0.42424,0.56875,0.94902,0.42857
deberta,4640,6,0.59648,0.43243,0.58101,0.9439,0.42857
deberta,4680,6,0.64914,0.57143,0.58398,0.94113,0.5
deberta,4720,6,0.56246,0.31373,0.55675,0.91783,0.46154
deberta,4760,6,0.67444,0.66667,0.5863,0.94479,0.5
deberta,4800,6,0.59854,0.43478,0.56511,0.93274,0.46154
deberta,4840,6,0.68514,0.66667,0.58794,0.94049,0.54545
deberta,4880,6,0.5927,0.43243,0.57215,0.93764,0.42857
deberta,4920,6,0.65051,0.58333,0.57672,0.94199,0.5
deberta,4960,6,0.63375,0.51429,0.58454,0.93619,0.5
deberta,5000,6,0.63298,0.53333,0.55193,0.94665,0.5
deberta,5040,6,0.65376,0.52941,0.5995,0.94066,0.54545
deberta,5080,6,0.66398,0.62069,0.59512,0.9401,0.5
deberta,5120,6,0.66388,0.64286,0.56742,0.94524,0.5
deberta,5160,6,0.69997,0.66667,0.58947,0.94374,0.6
deberta,5200,6,0.64909,0.59259,0.55589,0.94789,0.5
deberta,5240,6,0.65218,0.6,0.57666,0.93205,0.5
deberta,5280,6,0.62628,0.48649,0.58015,0.93846,0.5
deberta,5320,6,0.66245,0.64,0.57143,0.93839,0.5
deberta,5360,6,0.63376,0.51613,0.57534,0.94356,0.5
deberta,5400,6,0.58786,0.44,0.50172,0.94819,0.46154
deberta,5440,6,0.65546,0.6087,0.5625,0.95066,0.5
deberta,5480,6,0.58563,0.51429,0.57019,0.9247,0.33333
deberta,5520,7,0.63439,0.5625,0.56548,0.94805,0.46154
deberta,5560,7,0.65108,0.61538,0.57955,0.94786,0.46154
deberta,5600,7,0.64604,0.59259,0.58763,0.94242,0.46154
deberta,5640,7,0.659,0.62069,0.57584,0.93946,0.5
deberta,5680,7,0.69552,0.75,0.58523,0.94684,0.5
deberta,5720,7,0.66117,0.64286,0.59341,0.94687,0.46154
deberta,5760,7,0.62273,0.51282,0.57373,0.94285,0.46154
deberta,5800,7,0.65123,0.57143,0.58726,0.94623,0.5
deberta,5840,7,0.62353,0.52632,0.56338,0.94288,0.46154
deberta,5880,7,0.64058,0.55172,0.58422,0.92637,0.5
deberta,5920,7,0.62979,0.54054,0.57143,0.94566,0.46154
deberta,5960,7,0.65035,0.57143,0.59,0.93997,0.5
deberta,6000,7,0.64329,0.54545,0.59242,0.9353,0.5
deberta,6040,7,0.62748,0.53333,0.58156,0.93348,0.46154
deberta,6080,7,0.70343,0.69565,0.58411,0.93397,0.6
deberta,6120,7,0.59507,0.40909,0.52427,0.94692,0.5
deberta,6160,7,0.68526,0.64,0.60892,0.94664,0.54545
deberta,6200,7,0.69136,0.61538,0.60112,0.94892,0.6
deberta,6240,7,0.64054,0.42105,0.60341,0.93771,0.6
deberta,6280,7,0.666,0.59259,0.58586,0.9401,0.54545
deberta,6320,7,0.66271,0.58333,0.58571,0.93633,0.54545
deberta,6360,7,0.60702,0.51613,0.55824,0.92515,0.42857
deberta,6400,7,0.66655,0.63636,0.5814,0.94846,0.5
deberta,6440,8,0.69586,0.63636,0.58496,0.94672,0.61538
deberta,6480,8,0.72729,0.72727,0.57778,0.93743,0.66667
deberta,6520,8,0.65907,0.51613,0.56111,0.94364,0.61538
deberta,6560,8,0.66503,0.52941,0.56897,0.94634,0.61538
deberta,6600,8,0.64287,0.5,0.55524,0.94483,0.57143
deberta,6640,8,0.72405,0.69565,0.58919,0.94471,0.66667
deberta,6680,8,0.68857,0.61538,0.57396,0.94955,0.61538
deberta,6720,8,0.67373,0.5625,0.56716,0.94986,0.61538
deberta,6760,8,0.73166,0.72727,0.58886,0.94386,0.66667
deberta,6800,8,0.70802,0.69565,0.57618,0.94486,0.61538
deberta,6840,8,0.68424,0.61538,0.56701,0.93916,0.61538
deberta,6880,8,0.68267,0.61538,0.56104,0.93886,0.61538
deberta,6920,8,0.66313,0.53333,0.56566,0.93816,0.61538
deberta,6960,8,0.64109,0.52941,0.58981,0.94515,0.5
deberta,7000,8,0.66397,0.52941,0.57674,0.93432,0.61538
deberta,7040,8,0.68332,0.59259,0.58621,0.9391,0.61538
deberta,7080,8,0.7172,0.75,0.55346,0.94995,0.61538
deberta,7120,8,0.69484,0.64,0.58182,0.94216,0.61538
deberta,7160,8,0.70948,0.69565,0.58221,0.94467,0.61538
deberta,7200,8,0.71645,0.72,0.58286,0.94756,0.61538
deberta,7240,8,0.67023,0.58065,0.55427,0.93061,0.61538
deberta,7280,8,0.70674,0.69565,0.57441,0.94152,0.61538
deberta,7320,8,0.70923,0.69565,0.58152,0.94436,0.61538
deberta,7360,9,0.73466,0.66667,0.60104,0.94366,0.72727
deberta,7400,9,0.68599,0.58824,0.59401,0.94634,0.61538
deberta,7440,9,0.63803,0.52632,0.57726,0.94854,0.5
deberta,7480,9,0.69967,0.64516,0.59596,0.94217,0.61538
deberta,7520,9,0.7023,0.66667,0.58765,0.93949,0.61538
deberta,7560,9,0.69301,0.625,0.58974,0.94191,0.61538
deberta,7600,9,0.689,0.60606,0.58856,0.94599,0.61538
deberta,7640,9,0.70875,0.69231,0.58101,0.94631,0.61538
deberta,7680,9,0.7102,0.69231,0.58523,0.94786,0.61538
deberta,7720,9,0.6958,0.64516,0.58047,0.94216,0.61538
deberta,7760,9,0.68939,0.625,0.57722,0.93997,0.61538
deberta,7800,9,0.70831,0.68966,0.58242,0.94577,0.61538
deberta,7840,9,0.72007,0.74074,0.58247,0.94169,0.61538
deberta,7880,9,0.67175,0.66667,0.57682,0.94352,0.5
deberta,7920,9,0.67491,0.69231,0.56771,0.93964,0.5
deberta,7960,9,0.67907,0.69231,0.57714,0.94684,0.5
deberta,8000,9,0.68292,0.69565,0.58721,0.9488,0.5
deberta,8040,9,0.67172,0.66667,0.58081,0.93942,0.5
deberta,8080,9,0.68042,0.69231,0.58763,0.94173,0.5
deberta,8120,9,0.67346,0.66667,0.57669,0.95048,0.5
deberta,8160,9,0.66735,0.64516,0.58182,0.94242,0.5
deberta,8200,9,0.6682,0.64286,0.57764,0.95231,0.5
deberta,8240,9,0.69755,0.75,0.59401,0.94619,0.5
deberta,8280,10,0.68089,0.69231,0.58915,0.94212,0.5
deberta,8320,10,0.68189,0.69231,0.59278,0.94246,0.5
deberta,8360,10,0.65122,0.58065,0.57558,0.94865,0.5
deberta,8400,10,0.68235,0.69231,0.58924,0.94786,0.5
deberta,8440,10,0.69627,0.75,0.58757,0.94752,0.5
deberta,8480,10,0.67967,0.69231,0.58289,0.94348,0.5
deberta,8520,10,0.67984,0.69231,0.58486,0.9422,0.5
deberta,8560,10,0.68293,0.69231,0.59747,0.94195,0.5
deberta,8600,10,0.68124,0.69231,0.58886,0.94378,0.5
deberta,8640,10,0.67912,0.69231,0.58065,0.94352,0.5
deberta,8680,10,0.71817,0.72,0.59487,0.94242,0.61538
deberta,8720,10,0.6796,0.69231,0.58221,0.9439,0.5
deberta,8760,10,0.68058,0.69231,0.58537,0.94467,0.5
deberta,8800,10,0.67443,0.66667,0.58357,0.94748,0.5
deberta,8840,10,0.68257,0.69231,0.59178,0.94619,0.5
deberta,8880,10,0.68064,0.69231,0.58602,0.94424,0.5
deberta,8920,10,0.68152,0.69231,0.58791,0.94585,0.5
deberta,8960,10,0.68124,0.69231,0.58886,0.94378,0.5
deberta,9000,10,0.68027,0.69231,0.58575,0.94301,0.5
deberta,9040,10,0.68282,0.69231,0.5953,0.94366,0.5
deberta,9080,10,0.68124,0.69231,0.58886,0.94378,0.5
deberta,9120,10,0.68113,0.69231,0.5876,0.94463,0.5
deberta,9160,10,0.68113,0.69231,0.5876,0.94463,0.5
