
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: both
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-both

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)
  OK Grok-Generierungen              592 Zeilen  (generated.csv)  [sep=';']

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 81.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 10.9%)  ██████████████████
    agitation          671  (  4.0%)  ██████
    subversive         545  (  3.2%)  █████

  Train: 15,287  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [gbert] Step  4600 | Ep 5 | Macro-F1 0.5879 | kein Fortschritt 12/50
  [gbert] Step  4640 | Ep 5 | Macro-F1 0.6312 | kein Fortschritt 13/50
  [gbert] Step  4680 | Ep 5 | Macro-F1 0.6459 | kein Fortschritt 14/50
  [gbert] Step  4720 | Ep 5 | Macro-F1 0.6361 | kein Fortschritt 15/50
  [gbert] Step  4760 | Ep 5 | Macro-F1 0.5740 | kein Fortschritt 16/50
  [gbert] Step  4800 | Ep 6 | Macro-F1 0.6198 | kein Fortschritt 17/50
  [gbert] Step  4840 | Ep 6 | Macro-F1 0.6605 | kein Fortschritt 18/50
  [gbert] Step  4880 | Ep 6 | Macro-F1 0.6281 | kein Fortschritt 19/50
  [gbert] Step  4920 | Ep 6 | Macro-F1 0.5597 | kein Fortschritt 20/50
  [gbert] Step  4960 | Ep 6 | Macro-F1 0.5849 | kein Fortschritt 21/50
  [gbert] Step  5000 | Ep 6 | Macro-F1 0.6055 | kein Fortschritt 22/50
  [gbert] Step  5040 | Ep 6 | Macro-F1 0.5666 | kein Fortschritt 23/50
  [gbert] Step  5080 | Ep 6 | Macro-F1 0.6252 | kein Fortschritt 24/50
  [gbert] Step  5120 | Ep 6 | Macro-F1 0.6232 | kein Fortschritt 25/50
  [gbert] Step  5160 | Ep 6 | Macro-F1 0.5954 | kein Fortschritt 26/50
  [gbert] Step  5200 | Ep 6 | Macro-F1 0.6449 | kein Fortschritt 27/50
  [gbert] Step  5240 | Ep 6 | Macro-F1 0.5888 | kein Fortschritt 28/50
  [gbert] Step  5280 | Ep 6 | Macro-F1 0.6394 | kein Fortschritt 29/50
  [gbert] Step  5320 | Ep 6 | Macro-F1 0.5961 | kein Fortschritt 30/50
  [gbert] Step  5360 | Ep 6 | Macro-F1 0.5492 | kein Fortschritt 31/50
  [gbert] Step  5400 | Ep 6 | Macro-F1 0.6085 | kein Fortschritt 32/50
  [gbert] Step  5440 | Ep 6 | Macro-F1 0.5904 | kein Fortschritt 33/50
  [gbert] Step  5480 | Ep 6 | Macro-F1 0.5739 | kein Fortschritt 34/50
  [gbert] Step  5520 | Ep 6 | Macro-F1 0.6073 | kein Fortschritt 35/50
  [gbert] Step  5560 | Ep 6 | Macro-F1 0.5451 | kein Fortschritt 36/50
  [gbert] Step  5600 | Ep 6 | Macro-F1 0.6172 | kein Fortschritt 37/50
  [gbert] Step  5640 | Ep 6 | Macro-F1 0.6197 | kein Fortschritt 38/50
  [gbert] Step  5680 | Ep 6 | Macro-F1 0.6337 | kein Fortschritt 39/50
  [gbert] Step  5720 | Ep 6 | Macro-F1 0.6205 | kein Fortschritt 40/50
  [gbert] Step  5760 | Ep 7 | Macro-F1 0.6427 | kein Fortschritt 41/50
  [gbert] Step  5800 | Ep 7 | Macro-F1 0.6152 | kein Fortschritt 42/50
  [gbert] Step  5840 | Ep 7 | Macro-F1 0.6168 | kein Fortschritt 43/50
  [gbert] Step  5880 | Ep 7 | Macro-F1 0.6592 | kein Fortschritt 44/50
  [gbert] Step  5920 | Ep 7 | Macro-F1 0.6289 | kein Fortschritt 45/50
  [gbert] Step  5960 | Ep 7 | Macro-F1 0.5943 | kein Fortschritt 46/50
  [gbert] Step  6000 | Ep 7 | Macro-F1 0.5927 | kein Fortschritt 47/50
  [gbert] Step  6040 | Ep 7 | Macro-F1 0.6184 | kein Fortschritt 48/50
  [gbert] Step  6080 | Ep 7 | Macro-F1 0.5893 | kein Fortschritt 49/50
  [gbert] Step  6120 | Ep 7 | Macro-F1 0.6198 | kein Fortschritt 50/50
  [gbert] Early Stopping (beste Macro-F1: 0.6764)

  [gbert] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.78      0.50      0.61        14
   criticism       0.63      0.59      0.61       184
     nothing       0.95      0.96      0.95      1383
  subversive       0.40      0.80      0.53         5

    accuracy                           0.91      1586
   macro avg       0.69      0.71      0.68      1586
weighted avg       0.91      0.91      0.91      1586


─────────────────────────────────────────────────────────────────
  Trainiere: FacebookAI/xlm-roberta-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [xlmr] Step    40 | Ep 1 | Macro-F1 0.0044 | OK Bestes Modell
  [xlmr] Step    80 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 1/50
  [xlmr] Step   120 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 2/50
  [xlmr] Step   160 | Ep 1 | Macro-F1 0.0028 | kein Fortschritt 3/50
  [xlmr] Step   200 | Ep 1 | Macro-F1 0.0064 | OK Bestes Modell
  [xlmr] Step   240 | Ep 1 | Macro-F1 0.0041 | kein Fortschritt 1/50
  [xlmr] Step   280 | Ep 1 | Macro-F1 0.0032 | kein Fortschritt 2/50
  [xlmr] Step   320 | Ep 1 | Macro-F1 0.0356 | OK Bestes Modell
  [xlmr] Step   360 | Ep 1 | Macro-F1 0.1507 | OK Bestes Modell
  [xlmr] Step   400 | Ep 1 | Macro-F1 0.2486 | OK Bestes Modell
  [xlmr] Step   440 | Ep 1 | Macro-F1 0.4014 | OK Bestes Modell
  [xlmr] Step   480 | Ep 1 | Macro-F1 0.0959 | kein Fortschritt 1/50
  [xlmr] Step   520 | Ep 1 | Macro-F1 0.0700 | kein Fortschritt 2/50
  [xlmr] Step   560 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 3/50
  [xlmr] Step   600 | Ep 1 | Macro-F1 0.0242 | kein Fortschritt 4/50
  [xlmr] Step   640 | Ep 1 | Macro-F1 0.1052 | kein Fortschritt 5/50
  [xlmr] Step   680 | Ep 1 | Macro-F1 0.0051 | kein Fortschritt 6/50
  [xlmr] Step   720 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 7/50
  [xlmr] Step   760 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 8/50
  [xlmr] Step   800 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 9/50
  [xlmr] Step   840 | Ep 1 | Macro-F1 0.0044 | kein Fortschritt 10/50
  [xlmr] Step   880 | Ep 1 | Macro-F1 0.0016 | kein Fortschritt 11/50
  [xlmr] Step   920 | Ep 1 | Macro-F1 0.0016 | kein Fortschritt 12/50
  [xlmr] Step   960 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 13/50
  [xlmr] Step  1000 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 14/50
  [xlmr] Step  1040 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 15/50
  [xlmr] Step  1080 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 16/50
  [xlmr] Step  1120 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 17/50
  [xlmr] Step  1160 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 18/50
  [xlmr] Step  1200 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 19/50
  [xlmr] Step  1240 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 20/50
  [xlmr] Step  1280 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 21/50
  [xlmr] Step  1320 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 22/50
  [xlmr] Step  1360 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 23/50
  [xlmr] Step  1400 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 24/50
  [xlmr] Step  1440 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 25/50
  [xlmr] Step  1480 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 26/50
  [xlmr] Step  1520 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 27/50
  [xlmr] Step  1560 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 28/50
  [xlmr] Step  1600 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 29/50
  [xlmr] Step  1640 | Ep 2 | Macro-F1 0.0044 | kein Fortschritt 30/50
  [xlmr] Step  1680 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 31/50
  [xlmr] Step  1720 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 32/50
  [xlmr] Step  1760 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 33/50
  [xlmr] Step  1800 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 34/50
  [xlmr] Step  1840 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 35/50
  [xlmr] Step  1880 | Ep 2 | Macro-F1 0.0016 | kein Fortschritt 36/50
  [xlmr] Step  1920 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 37/50
  [xlmr] Step  1960 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 38/50
  [xlmr] Step  2000 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 39/50
  [xlmr] Step  2040 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 40/50
  [xlmr] Step  2080 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 41/50
  [xlmr] Step  2120 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 42/50
  [xlmr] Step  2160 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 43/50
  [xlmr] Step  2200 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 44/50
  [xlmr] Step  2240 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 45/50
  [xlmr] Step  2280 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 46/50
  [xlmr] Step  2320 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 47/50
  [xlmr] Step  2360 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 48/50
  [xlmr] Step  2400 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 49/50
  [xlmr] Step  2440 | Ep 3 | Macro-F1 0.0016 | kein Fortschritt 50/50
  [xlmr] Early Stopping (beste Macro-F1: 0.4014)

  [xlmr] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.31      0.29      0.30        14
   criticism       0.36      0.46      0.40       184
     nothing       0.92      0.89      0.90      1383
  subversive       0.00      0.00      0.00         5

    accuracy                           0.83      1586
   macro avg       0.40      0.41      0.40      1586
weighted avg       0.85      0.83      0.84      1586


─────────────────────────────────────────────────────────────────
  Trainiere: microsoft/deberta-v3-base
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [deberta] Step    40 | Ep 1 | Macro-F1 0.2329 | OK Bestes Modell
  [deberta] Step    80 | Ep 1 | Macro-F1 0.2329 | kein Fortschritt 1/50
  [deberta] Step   120 | Ep 1 | Macro-F1 0.2310 | kein Fortschritt 2/50
  [deberta] Step   160 | Ep 1 | Macro-F1 0.0034 | kein Fortschritt 3/50
  [deberta] Step   200 | Ep 1 | Macro-F1 0.0575 | kein Fortschritt 4/50
  [deberta] Step   240 | Ep 1 | Macro-F1 0.2282 | kein Fortschritt 5/50
  [deberta] Step   280 | Ep 1 | Macro-F1 0.2623 | OK Bestes Modell
  [deberta] Step   320 | Ep 1 | Macro-F1 0.2517 | kein Fortschritt 1/50
  [deberta] Step   360 | Ep 1 | Macro-F1 0.3060 | OK Bestes Modell
  [deberta] Step   400 | Ep 1 | Macro-F1 0.3667 | OK Bestes Modell
  [deberta] Step   440 | Ep 1 | Macro-F1 0.3091 | kein Fortschritt 1/50
  [deberta] Step   480 | Ep 1 | Macro-F1 0.2091 | kein Fortschritt 2/50
  [deberta] Step   520 | Ep 1 | Macro-F1 0.3569 | kein Fortschritt 3/50
  [deberta] Step   560 | Ep 1 | Macro-F1 0.3187 | kein Fortschritt 4/50
  [deberta] Step   600 | Ep 1 | Macro-F1 0.4239 | OK Bestes Modell
  [deberta] Step   640 | Ep 1 | Macro-F1 0.3659 | kein Fortschritt 1/50
  [deberta] Step   680 | Ep 1 | Macro-F1 0.3492 | kein Fortschritt 2/50
  [deberta] Step   720 | Ep 1 | Macro-F1 0.4558 | OK Bestes Modell
  [deberta] Step   760 | Ep 1 | Macro-F1 0.3940 | kein Fortschritt 1/50
  [deberta] Step   800 | Ep 1 | Macro-F1 0.4390 | kein Fortschritt 2/50
  [deberta] Step   840 | Ep 1 | Macro-F1 0.4189 | kein Fortschritt 3/50
  [deberta] Step   880 | Ep 1 | Macro-F1 0.3950 | kein Fortschritt 4/50
  [deberta] Step   920 | Ep 1 | Macro-F1 0.4588 | OK Bestes Modell
  [deberta] Step   960 | Ep 2 | Macro-F1 0.4133 | kein Fortschritt 1/50
  [deberta] Step  1000 | Ep 2 | Macro-F1 0.3890 | kein Fortschritt 2/50
  [deberta] Step  1040 | Ep 2 | Macro-F1 0.4048 | kein Fortschritt 3/50
  [deberta] Step  1080 | Ep 2 | Macro-F1 0.3811 | kein Fortschritt 4/50
  [deberta] Step  1120 | Ep 2 | Macro-F1 0.3583 | kein Fortschritt 5/50
  [deberta] Step  1160 | Ep 2 | Macro-F1 0.3484 | kein Fortschritt 6/50
