
=================================================================
  GermEval 2026 - Subtask 2  |  Ensemble Training
=================================================================
  Device:        cuda
  Augmentierung: paraphrase
  4. Modell:     keins
  Ausgabe:       /u/halle/ophe/home_at/Desktop/nlp/Sophie/model_dataset_gridsearch/all5_aug-paraphrase

  Lade Daten ...
  OK Hauptdaten (train_minimal)   15,853 Zeilen  (train_minimal.csv)
  OK Testdaten (test_minimal)        999 Zeilen  (test_minimal.csv)
  OK LLM-Paraphrasen                 428 Zeilen  (paraphrased.csv)

  Trainingsdaten nach Augmentierung:
    nothing         13,818  ( 84.9%)  ██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
    criticism        1,839  ( 11.3%)  ██████████████████
    agitation          433  (  2.7%)  ████
    subversive         191  (  1.2%)  █

  Train: 14,695  |  Val: 1,586  (Val-Set enthaelt keine augmentierten Daten)

  Klassen (4): ['agitation', 'criticism', 'nothing', 'subversive']

  Class Weights:
    agitation       27.65
    criticism       2.16
    nothing         0.29
    subversive      74.31

=================================================================
  STARTE ENSEMBLE-TRAINING (3 Modelle)
=================================================================

─────────────────────────────────────────────────────────────────
  Trainiere: deepset/gbert-large
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [xlmr] Step   880 | Ep 1 | Macro-F1 0.0520 | kein Fortschritt 13/50
  [xlmr] Step   920 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 14/50
  [xlmr] Step   960 | Ep 2 | Macro-F1 0.0520 | kein Fortschritt 15/50
  [xlmr] Step  1000 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 16/50
  [xlmr] Step  1040 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 17/50
  [xlmr] Step  1080 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 18/50
  [xlmr] Step  1120 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 19/50
  [xlmr] Step  1160 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 20/50
  [xlmr] Step  1200 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 21/50
  [xlmr] Step  1240 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 22/50
  [xlmr] Step  1280 | Ep 2 | Macro-F1 0.0520 | kein Fortschritt 23/50
  [xlmr] Step  1320 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 24/50
  [xlmr] Step  1360 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 25/50
  [xlmr] Step  1400 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 26/50
  [xlmr] Step  1440 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 27/50
  [xlmr] Step  1480 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 28/50
  [xlmr] Step  1520 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 29/50
  [xlmr] Step  1560 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 30/50
  [xlmr] Step  1600 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 31/50
  [xlmr] Step  1640 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 32/50
  [xlmr] Step  1680 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 33/50
  [xlmr] Step  1720 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 34/50
  [xlmr] Step  1760 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 35/50
  [xlmr] Step  1800 | Ep 2 | Macro-F1 0.2329 | kein Fortschritt 36/50
  [xlmr] Step  1840 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 37/50
  [xlmr] Step  1880 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 38/50
  [xlmr] Step  1920 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 39/50
  [xlmr] Step  1960 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 40/50
  [xlmr] Step  2000 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 41/50
  [xlmr] Step  2040 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 42/50
  [xlmr] Step  2080 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 43/50
  [xlmr] Step  2120 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 44/50
  [xlmr] Step  2160 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 45/50
  [xlmr] Step  2200 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 46/50
  [xlmr] Step  2240 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 47/50
  [xlmr] Step  2280 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 48/50
  [xlmr] Step  2320 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 49/50
  [xlmr] Step  2360 | Ep 3 | Macro-F1 0.2329 | kein Fortschritt 50/50
  [xlmr] Early Stopping (beste Macro-F1: 0.3149)

  [xlmr] Finaler Report:
              precision    recall  f1-score   support

   agitation       0.00      0.00      0.00        14
   criticism       0.32      0.44      0.37       184
     nothing       0.91      0.87      0.89      1383
  subversive       0.00      0.00      0.00         5

    accuracy                           0.81      1586
   macro avg       0.31      0.33      0.31      1586
weighted avg       0.83      0.81      0.82      1586


─────────────────────────────────────────────────────────────────
  Trainiere: microsoft/deberta-v3-base
─────────────────────────────────────────────────────────────────
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/u/halle/ophe/home_at/Desktop/nlp/venv/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
  Training: max 10 Epochs | Eval alle 40 Steps | Patience 50
  [deberta] Step    40 | Ep 1 | Macro-F1 0.0142 | OK Bestes Modell
  [deberta] Step    80 | Ep 1 | Macro-F1 0.1045 | OK Bestes Modell
  [deberta] Step   120 | Ep 1 | Macro-F1 0.3005 | OK Bestes Modell
  [deberta] Step   160 | Ep 1 | Macro-F1 0.2567 | kein Fortschritt 1/50
  [deberta] Step   200 | Ep 1 | Macro-F1 0.3239 | OK Bestes Modell
  [deberta] Step   240 | Ep 1 | Macro-F1 0.3518 | OK Bestes Modell
  [deberta] Step   280 | Ep 1 | Macro-F1 0.3429 | kein Fortschritt 1/50
  [deberta] Step   320 | Ep 1 | Macro-F1 0.3949 | OK Bestes Modell
  [deberta] Step   360 | Ep 1 | Macro-F1 0.3501 | kein Fortschritt 1/50
  [deberta] Step   400 | Ep 1 | Macro-F1 0.4203 | OK Bestes Modell
  [deberta] Step   440 | Ep 1 | Macro-F1 0.3923 | kein Fortschritt 1/50
  [deberta] Step   480 | Ep 1 | Macro-F1 0.4628 | OK Bestes Modell
  [deberta] Step   520 | Ep 1 | Macro-F1 0.3945 | kein Fortschritt 1/50
  [deberta] Step   560 | Ep 1 | Macro-F1 0.3738 | kein Fortschritt 2/50
  [deberta] Step   600 | Ep 1 | Macro-F1 0.2969 | kein Fortschritt 3/50
  [deberta] Step   640 | Ep 1 | Macro-F1 0.3897 | kein Fortschritt 4/50
  [deberta] Step   680 | Ep 1 | Macro-F1 0.4034 | kein Fortschritt 5/50
  [deberta] Step   720 | Ep 1 | Macro-F1 0.4422 | kein Fortschritt 6/50
  [deberta] Step   760 | Ep 1 | Macro-F1 0.3585 | kein Fortschritt 7/50
  [deberta] Step   800 | Ep 1 | Macro-F1 0.4116 | kein Fortschritt 8/50
  [deberta] Step   840 | Ep 1 | Macro-F1 0.4190 | kein Fortschritt 9/50
  [deberta] Step   880 | Ep 1 | Macro-F1 0.4591 | kein Fortschritt 10/50
  [deberta] Step   920 | Ep 2 | Macro-F1 0.3454 | kein Fortschritt 11/50
  [deberta] Step   960 | Ep 2 | Macro-F1 0.4700 | OK Bestes Modell
  [deberta] Step  1000 | Ep 2 | Macro-F1 0.4280 | kein Fortschritt 1/50
  [deberta] Step  1040 | Ep 2 | Macro-F1 0.4648 | kein Fortschritt 2/50
  [deberta] Step  1080 | Ep 2 | Macro-F1 0.4876 | OK Bestes Modell
  [deberta] Step  1120 | Ep 2 | Macro-F1 0.3983 | kein Fortschritt 1/50
  [deberta] Step  1160 | Ep 2 | Macro-F1 0.4657 | kein Fortschritt 2/50
  [deberta] Step  1200 | Ep 2 | Macro-F1 0.3827 | kein Fortschritt 3/50
  [deberta] Step  1240 | Ep 2 | Macro-F1 0.4611 | kein Fortschritt 4/50
  [deberta] Step  1280 | Ep 2 | Macro-F1 0.4000 | kein Fortschritt 5/50
  [deberta] Step  1320 | Ep 2 | Macro-F1 0.4512 | kein Fortschritt 6/50
  [deberta] Step  1360 | Ep 2 | Macro-F1 0.4589 | kein Fortschritt 7/50
  [deberta] Step  1400 | Ep 2 | Macro-F1 0.4865 | kein Fortschritt 8/50
  [deberta] Step  1440 | Ep 2 | Macro-F1 0.4431 | kein Fortschritt 9/50
