model,step,epoch,val_macro_f1,f1_agitation,f1_criticism,f1_nothing,f1_subversive
gbert,4160,5,0.70156,0.66667,0.613,0.95513,0.57143
gbert,4200,5,0.67042,0.5625,0.64216,0.94369,0.53333
gbert,4240,5,0.70426,0.66667,0.62346,0.95547,0.57143
gbert,4280,5,0.66842,0.62069,0.59868,0.9543,0.5
gbert,4320,5,0.65152,0.54054,0.61625,0.94931,0.5
gbert,4360,5,0.71705,0.625,0.62963,0.94691,0.66667
gbert,4400,5,0.71251,0.6,0.63361,0.94977,0.66667
gbert,4440,5,0.69315,0.58065,0.63342,0.94316,0.61538
gbert,4480,5,0.71475,0.64516,0.64607,0.95238,0.61538
gbert,4520,5,0.7225,0.68966,0.63158,0.95337,0.61538
gbert,4560,5,0.70378,0.5,0.63807,0.94978,0.72727
gbert,4600,6,0.6567,0.5641,0.6119,0.9508,0.5
gbert,4640,6,0.67698,0.64286,0.61128,0.95378,0.5
gbert,4680,6,0.65344,0.5641,0.59692,0.95272,0.5
gbert,4720,6,0.67958,0.6,0.63388,0.9511,0.53333
gbert,4760,6,0.66103,0.6,0.61988,0.95365,0.47059
gbert,4800,6,0.64857,0.54054,0.63006,0.9531,0.47059
gbert,4840,6,0.66253,0.57143,0.63158,0.9471,0.5
gbert,4880,6,0.67215,0.625,0.60815,0.95544,0.5
gbert,4920,6,0.66086,0.57143,0.61988,0.95214,0.5
gbert,4960,6,0.68681,0.59259,0.63158,0.95162,0.57143
gbert,5000,6,0.67071,0.58065,0.61756,0.95132,0.53333
gbert,5040,6,0.66375,0.54545,0.63021,0.94599,0.53333
gbert,5080,6,0.64571,0.52941,0.63006,0.95279,0.47059
gbert,5120,6,0.66919,0.54545,0.64327,0.95471,0.53333
gbert,5160,6,0.66228,0.5,0.62424,0.95344,0.57143
gbert,5200,6,0.67315,0.54545,0.62428,0.95142,0.57143
gbert,5240,6,0.68455,0.58065,0.63483,0.95128,0.57143
gbert,5280,6,0.71064,0.58065,0.64162,0.95365,0.66667
gbert,5320,6,0.7202,0.62069,0.64023,0.9532,0.66667
gbert,5360,6,0.66789,0.5625,0.62048,0.95525,0.53333
gbert,5400,6,0.67471,0.58065,0.63467,0.9502,0.53333
gbert,5440,6,0.68364,0.62069,0.63524,0.94532,0.53333
gbert,5480,6,0.69117,0.66667,0.61364,0.95104,0.53333
gbert,5520,7,0.65879,0.5625,0.58442,0.95492,0.53333
gbert,5560,7,0.68172,0.58065,0.62396,0.95087,0.57143
gbert,5600,7,0.70438,0.66667,0.62609,0.95334,0.57143
gbert,5640,7,0.70311,0.66667,0.61963,0.95472,0.57143
gbert,5680,7,0.69519,0.61538,0.64088,0.95307,0.57143
gbert,5720,7,0.69327,0.64,0.60843,0.95323,0.57143
gbert,5760,7,0.69325,0.66667,0.58086,0.95403,0.57143
gbert,5800,7,0.72031,0.62069,0.64362,0.95027,0.66667
gbert,5840,7,0.69077,0.61538,0.62315,0.95313,0.57143
gbert,5880,7,0.66419,0.57143,0.60058,0.95142,0.53333
gbert,5920,7,0.69114,0.60606,0.63562,0.95145,0.57143
gbert,5960,7,0.67987,0.62069,0.61111,0.95435,0.53333
gbert,6000,7,0.70717,0.64516,0.61584,0.95228,0.61538
